"Host_Harmonised","Host_Original","HostClass","HostOrder","HostFamily","Pathogen_Harmonised","Pathogen_Original","PathogenType","Database","Year","YearType","DetectionMethod_Original","DetectionMethod_Harmonised","DetectionQuality_Original","DetectionQuality_Harmonised","HostSynonyms"
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","african horse sickness","african horse sickness","virus","HP3",1995,"Author","bcELISA","Serology",0,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","african horse sickness","african horse sickness","virus","Shaw",1995,"PubMed","Antibodies",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","alphacoronavirus 1","alphacoronavirus 1","virus","GMPD2",2003,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","alphacoronavirus 1","alphacoronavirus 1","virus","GMPD2",2003,"Author","PCR","PCR",2,2,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","alphacoronavirus 1","alphacoronavirus 1","virus","GMPD2",2004,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","alphacoronavirus 1","alphacoronavirus 1","virus","GMPD2",2010,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","alphacoronavirus 1","alphacoronavirus 1","virus","Shaw",1990,"PubMed","Isolation",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","bluetongue","bluetongue","virus","HP3",1994,"Author","Antibodies","Serology",0,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","bluetongue","bluetongue","virus","Shaw",2001,"Author","Antibodies",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","canine distemper","canine distemper","virus","GMPD2",2004,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","canine distemper","canine distemper","virus","GMPD2",2010,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","cardiovirus a","cardiovirus a","virus","Shaw",1989,NA,"Antibodies",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","carnivore protoparvovirus 1","carnivore protoparvovirus 1","virus","GMPD2",2004,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","carnivore protoparvovirus 1","carnivore protoparvovirus 1","virus","GMPD2",2010,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","carnivore protoparvovirus 1","carnivore protoparvovirus 1","virus","Shaw",1993,"Author","Isolation",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","cowpox","cowpox","virus","EID2",2016,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","cowpox","cowpox","virus","Shaw",1982,"PubMed","Isolation",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","felid herpesvirus 1","felid alphaherpesvirus 1","virus","GMPD2",2004,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","felid herpesvirus 1","felid alphaherpesvirus 1","virus","GMPD2",2010,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","felid herpesvirus 1","felid alphaherpesvirus 1","virus","Shaw",2004,"PubMed","Antibodies",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline astrovirus","feline astrovirus","virus","HP3",2009,"Author","PCR","PCR",2,2,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline astrovirus","mamastrovirus 2","virus","Shaw",2009,"PubMed","PCR",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","EID2",2000,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","EID2",1997,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","EID2",2016,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","EID2",1999,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","EID2",2009,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","GMPD2",2004,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","GMPD2",2010,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","HP3",2004,"Author","Antibodies","Serology",0,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline calicivirus","feline calicivirus","virus","Shaw",1975,"PubMed","Isolation",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline coronavirus","feline coronavirus","virus","HP3",1996,"Author","Antibodies","Serology",0,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline immunodeficiency","feline immunodeficiency","virus","EID2",2016,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline immunodeficiency","feline immunodeficiency","virus","GMPD2",1993,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline immunodeficiency","feline immunodeficiency","virus","GMPD2",1996,"Author","DirectBlood","DirectIsolationOrObservation",2,2,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline immunodeficiency","feline immunodeficiency","virus","Shaw",2005,"PubMed","PCR",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","feline leukemia","feline leukemia","virus","Shaw",1986,"PubMed","Antibodies",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","influenza a","influenza a","virus","EID2",2012,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","rabies","rabies lyssavirus","virus","GMPD2",2010,"Author","Serology","Serology",1,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","rabies","rabies","virus","HP3",2010,"Author","Antibodies","Serology",0,1,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","rabies","rabies lyssavirus","virus","Shaw",2008,"PubMed","Antibodies",NA,NA,NA,""
"acinonyx jubatus","acinonyx jubatus","Mammalia","Carnivora","Felidae","rift valley","rift valley fever phlebovirus","virus","Shaw",1996,"PubMed","Antibodies",NA,NA,NA,""
"ailuropoda melanoleuca","ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","alphacoronavirus 1","alphacoronavirus 1","virus","EID2",2003,"Nucleotide","CargoCarrier","Cargocarrier",0,0,"ursus melanoleucus"
"ailuropoda melanoleuca","ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","alphacoronavirus 1","alphacoronavirus 1","virus","Shaw",2009,"PubMed","Isolation",NA,NA,NA,"ursus melanoleucus"
"ailuropoda melanoleuca","ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","canine distemper","canine distemper","virus","EID2",1999,"Nucleotide","CargoCarrier","Cargocarrier",0,0,"ursus melanoleucus"
"ailuropoda melanoleuca","ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","canine distemper","canine distemper","virus","Shaw",1993,"Author","Isolation",NA,NA,NA,"ursus melanoleucus"
"ailuropoda melanoleuca","ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","carnivore protoparvovirus 1","carnivore protoparvovirus 1","virus","Shaw",1994,"Author","PCR",NA,NA,NA,"ursus melanoleucus"
"ailuropoda melanoleuca","ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","rotavirus a","rotavirus a","virus","EID2",2013,"Nucleotide","CargoCarrier","Cargocarrier",0,0,"ursus melanoleucus"
"ailuropoda melanoleuca","ailuropoda melanoleuca","Mammalia","Carnivora","Ursidae","rotavirus a","rotavirus a","virus","Shaw",2013,"PubMed","Isolation",NA,NA,NA,"ursus melanoleucus"
"ailurus fulgens","ailurus fulgens","Mammalia","Carnivora","Ailuridae","canine distemper","canine distemper","virus","EID2",1999,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"ailurus fulgens","ailurus fulgens","Mammalia","Carnivora","Ailuridae","canine distemper","canine distemper","virus","Shaw",NA,NA,"PCR",NA,NA,NA,""
"ailurus fulgens","ailurus fulgens","Mammalia","Carnivora","Ailuridae","carnivore protoparvovirus 1","carnivore protoparvovirus 1","virus","Shaw",2006,"PubMed","Isolation",NA,NA,NA,""
"ailurus fulgens","ailurus fulgens","Mammalia","Carnivora","Ailuridae","cowpox","cowpox","virus","EID2",2016,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"ailurus fulgens","ailurus fulgens","Mammalia","Carnivora","Ailuridae","cowpox","cowpox","virus","Shaw",2009,"PubMed","Isolation",NA,NA,NA,""
"ailurus fulgens","ailurus fulgens","Mammalia","Carnivora","Ailuridae","feline panleukopenia","feline panleukopenia","virus","EID2",2007,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"ailurus fulgens","ailurus fulgens","Mammalia","Carnivora","Ailuridae","west nile","west nile","virus","Shaw",2012,"PubMed","Antibodies",NA,NA,NA,""
"arctocephalus australis","arctocephalus australis","Mammalia","Carnivora","Otariidae","influenza a","a influenza a","virus","GMPD2",2009,"Author","Serology","Serology",1,1,"arctocephalus australis australis, arctocephalus australis gracilis"
"arctocephalus australis","arctocephalus australis","Mammalia","Carnivora","Otariidae","influenza a","influenza a","virus","HP3",2009,"Author","Antibodies","Serology",0,1,"arctocephalus australis australis, arctocephalus australis gracilis"
"arctocephalus australis","arctocephalus australis","Mammalia","Carnivora","Otariidae","influenza a","influenza a","virus","Shaw",2009,"PubMed","Antibodies",NA,NA,NA,"arctocephalus australis australis, arctocephalus australis gracilis"
"arctocephalus australis","arctocephalus australis","Mammalia","Carnivora","Otariidae","influenza b","b influenza b","virus","GMPD2",2009,"Author","Serology","Serology",1,1,"arctocephalus australis australis, arctocephalus australis gracilis"
"arctocephalus australis","arctocephalus australis","Mammalia","Carnivora","Otariidae","influenza b","influenza b","virus","Shaw",2009,"PubMed","Antibodies",NA,NA,NA,"arctocephalus australis australis, arctocephalus australis gracilis"
"arctocephalus australis","arctocephalus australis","Mammalia","Carnivora","Otariidae","sakobuvirus a","sakobuvirus a","virus","Shaw",2016,"PubMed","PCR",NA,NA,NA,"arctocephalus australis australis, arctocephalus australis gracilis"
"arctocephalus forsteri","arctocephalus forsteri","Mammalia","Carnivora","Otariidae","phocine distemper","phocine distemper","virus","Shaw",2014,"PubMed","Antibodies",NA,NA,NA,""
"arctocephalus galapagoensis","arctocephalus galapagoensis","Mammalia","Carnivora","Otariidae","mammalian orthoreovirus","mammalian orthoreovirus","virus","GMPD2",2009,"Author","Serology","Serology",1,1,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","lagos bat","lagos bat","virus","EID2",2007,"PubMed","CargoCarrier","Cargocarrier",0,0,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","lagos bat","lagos bat","virus","EID2",2008,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","lagos bat","lagos bat lyssavirus","virus","Shaw",2006,"Author","Isolation",NA,NA,NA,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","rabies","rabies","virus","EID2",2016,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","rabies","rabies","virus","EID2",2010,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","rabies","rabies","virus","EID2",2013,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","rabies","rabies lyssavirus","virus","GMPD2",2007,"Author","Serology","Serology",1,1,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","rabies","rabies","virus","HP3",2010,"Author","PCR","PCR",2,2,""
"atilax paludinosus","atilax paludinosus","Mammalia","Carnivora","Herpestidae","rabies","rabies lyssavirus","virus","Shaw",NA,NA,"Isolation",NA,NA,NA,""
"bassaricyon gabbii","bassaricyon gabbii","Mammalia","Carnivora","Procyonidae","vesicular stomatitis indiana","vesicular stomatitis indiana","virus","HP3",1969,"Author","plaque reduction neutralization","VirusNeutralisationAssay",1,1,"bassaricyon lasius, bassaricyon pauli, bassaricyon richardsoni"
"bassariscus astutus","bassariscus astutus","Mammalia","Carnivora","Procyonidae","carnivore protoparvovirus 1","carnivore protoparvovirus 1","virus","GMPD2",2005,"Author","Serology","Serology",1,1,""
"bassariscus astutus","bassariscus astutus","Mammalia","Carnivora","Procyonidae","rabies","rabies","virus","EID2",2012,"Nucleotide","CargoCarrier","Cargocarrier",0,0,""
"bassariscus astutus","bassariscus astutus","Mammalia","Carnivora","Procyonidae","rabies","rabies lyssavirus","virus","GMPD2",2005,"Author","Serology","Serology",1,1,""
