"Year","NumPubs","Host","Note"
1980,1,"bos gaurus",""
1981,1,"bos gaurus",""
1982,3,"bos gaurus",""
1983,1,"bos gaurus",""
1984,1,"bos gaurus",""
1988,3,"bos gaurus",""
1989,1,"bos gaurus",""
1992,1,"bos gaurus",""
1993,2,"bos gaurus",""
1994,2,"bos gaurus",""
1997,3,"bos gaurus",""
1998,1,"bos gaurus",""
1999,1,"bos gaurus",""
2000,1,"bos gaurus",""
2001,1,"bos gaurus",""
2002,1,"bos gaurus",""
2004,4,"bos gaurus",""
2005,2,"bos gaurus",""
2007,4,"bos gaurus",""
2008,2,"bos gaurus",""
2009,2,"bos gaurus",""
2011,6,"bos gaurus",""
2012,2,"bos gaurus",""
2013,1,"bos gaurus",""
2014,2,"bos gaurus",""
2015,2,"bos gaurus",""
2016,1,"bos gaurus",""
2017,1,"bos gaurus",""
2018,1,"bos gaurus",""
2019,6,"bos gaurus",""
2020,4,"bos gaurus",""
1959,1,"bos indicus",""
1964,1,"bos indicus",""
1965,1,"bos indicus",""
1966,1,"bos indicus",""
1967,1,"bos indicus",""
1968,4,"bos indicus",""
1969,2,"bos indicus",""
1970,1,"bos indicus",""
1971,5,"bos indicus",""
1972,4,"bos indicus",""
1973,4,"bos indicus",""
1974,2,"bos indicus",""
1975,4,"bos indicus",""
1976,6,"bos indicus",""
1977,3,"bos indicus",""
1978,11,"bos indicus",""
1979,9,"bos indicus",""
1980,10,"bos indicus",""
1981,16,"bos indicus",""
1982,12,"bos indicus",""
1983,9,"bos indicus",""
1984,9,"bos indicus",""
1985,14,"bos indicus",""
1986,8,"bos indicus",""
1987,21,"bos indicus",""
1988,16,"bos indicus",""
1989,12,"bos indicus",""
1990,23,"bos indicus",""
1991,37,"bos indicus",""
1992,26,"bos indicus",""
1993,18,"bos indicus",""
1994,27,"bos indicus",""
1995,32,"bos indicus",""
1996,24,"bos indicus",""
1997,25,"bos indicus",""
1998,20,"bos indicus",""
1999,21,"bos indicus",""
2000,39,"bos indicus",""
2001,19,"bos indicus",""
2002,35,"bos indicus",""
2003,38,"bos indicus",""
2004,49,"bos indicus",""
2005,47,"bos indicus",""
2006,46,"bos indicus",""
2007,56,"bos indicus",""
2008,60,"bos indicus",""
2009,67,"bos indicus",""
2010,61,"bos indicus",""
2011,63,"bos indicus",""
2012,75,"bos indicus",""
2013,74,"bos indicus",""
2014,95,"bos indicus",""
2015,88,"bos indicus",""
2016,82,"bos indicus",""
2017,77,"bos indicus",""
2018,118,"bos indicus",""
2019,117,"bos indicus",""
2020,139,"bos indicus",""
2021,4,"bos indicus",""
1949,1,"giraffa giraffa",""
