"Year","NumPubs","Host","Note"
1976,1,"Abrothrix longipilis",""
1981,1,"Abrothrix longipilis",""
1982,1,"Abrothrix longipilis",""
1992,1,"Abrothrix longipilis",""
1995,2,"Abrothrix longipilis",""
2001,1,"Abrothrix longipilis",""
2004,1,"Abrothrix longipilis",""
2005,1,"Abrothrix longipilis",""
2009,1,"Abrothrix longipilis",""
2010,1,"Abrothrix longipilis",""
2012,1,"Abrothrix longipilis",""
2013,1,"Abrothrix longipilis",""
2017,1,"Abrothrix longipilis",""
2018,1,"Abrothrix longipilis",""
2020,3,"Abrothrix longipilis",""
1981,1,"Abrothrix olivaceus",""
1982,2,"Abrothrix olivaceus",""
1988,1,"Abrothrix olivaceus",""
1992,1,"Abrothrix olivaceus",""
1995,1,"Abrothrix olivaceus",""
2001,1,"Abrothrix olivaceus",""
2004,1,"Abrothrix olivaceus",""
2005,2,"Abrothrix olivaceus",""
2011,1,"Abrothrix olivaceus",""
2012,1,"Abrothrix olivaceus",""
2016,1,"Abrothrix olivaceus",""
2017,1,"Abrothrix olivaceus",""
2018,1,"Abrothrix olivaceus",""
2019,1,"Abrothrix olivaceus",""
1982,1,"Abrothrix sanborni",""
2018,1,"Abrothrix sanborni",""
1972,2,"Acinonyx jubatus",""
1978,2,"Acinonyx jubatus",""
1979,1,"Acinonyx jubatus",""
1981,3,"Acinonyx jubatus",""
1983,1,"Acinonyx jubatus",""
1984,1,"Acinonyx jubatus",""
1985,1,"Acinonyx jubatus",""
1986,2,"Acinonyx jubatus",""
1987,2,"Acinonyx jubatus",""
1989,1,"Acinonyx jubatus",""
1990,4,"Acinonyx jubatus",""
1991,6,"Acinonyx jubatus",""
1992,3,"Acinonyx jubatus",""
1993,3,"Acinonyx jubatus",""
1994,3,"Acinonyx jubatus",""
1995,3,"Acinonyx jubatus",""
1996,2,"Acinonyx jubatus",""
1997,9,"Acinonyx jubatus",""
1998,5,"Acinonyx jubatus",""
1999,4,"Acinonyx jubatus",""
2000,5,"Acinonyx jubatus",""
2001,4,"Acinonyx jubatus",""
2002,2,"Acinonyx jubatus",""
2003,14,"Acinonyx jubatus",""
2004,12,"Acinonyx jubatus",""
2005,3,"Acinonyx jubatus",""
2006,12,"Acinonyx jubatus",""
2007,11,"Acinonyx jubatus",""
2008,12,"Acinonyx jubatus",""
2009,5,"Acinonyx jubatus",""
2010,9,"Acinonyx jubatus",""
2011,22,"Acinonyx jubatus",""
2012,10,"Acinonyx jubatus",""
2013,14,"Acinonyx jubatus",""
2014,13,"Acinonyx jubatus",""
2015,23,"Acinonyx jubatus",""
2016,28,"Acinonyx jubatus",""
2017,21,"Acinonyx jubatus",""
2018,15,"Acinonyx jubatus",""
2019,19,"Acinonyx jubatus",""
2020,17,"Acinonyx jubatus",""
1961,1,"Acomys cahirinus",""
1963,1,"Acomys cahirinus",""
1966,1,"Acomys cahirinus",""
1967,5,"Acomys cahirinus",""
1968,3,"Acomys cahirinus",""
1969,3,"Acomys cahirinus",""
1970,4,"Acomys cahirinus",""
1971,5,"Acomys cahirinus",""
1972,7,"Acomys cahirinus",""
1973,2,"Acomys cahirinus",""
1974,8,"Acomys cahirinus",""
1975,9,"Acomys cahirinus",""
1976,7,"Acomys cahirinus",""
1977,4,"Acomys cahirinus",""
1978,1,"Acomys cahirinus",""
1979,5,"Acomys cahirinus",""
1980,3,"Acomys cahirinus",""
1981,6,"Acomys cahirinus",""
1982,1,"Acomys cahirinus",""
1983,3,"Acomys cahirinus",""
1984,6,"Acomys cahirinus",""
1985,6,"Acomys cahirinus",""
1986,5,"Acomys cahirinus",""
1987,6,"Acomys cahirinus",""
1988,11,"Acomys cahirinus",""
1989,8,"Acomys cahirinus",""
1990,5,"Acomys cahirinus",""
1991,2,"Acomys cahirinus",""
1992,6,"Acomys cahirinus",""
1993,5,"Acomys cahirinus",""
1994,2,"Acomys cahirinus",""
1995,3,"Acomys cahirinus",""
1996,5,"Acomys cahirinus",""
1997,3,"Acomys cahirinus",""
1998,4,"Acomys cahirinus",""
1999,6,"Acomys cahirinus",""
2000,4,"Acomys cahirinus",""
2001,5,"Acomys cahirinus",""
2002,5,"Acomys cahirinus",""
2003,3,"Acomys cahirinus",""
2004,4,"Acomys cahirinus",""
2005,4,"Acomys cahirinus",""
2006,5,"Acomys cahirinus",""
2007,2,"Acomys cahirinus",""
2008,5,"Acomys cahirinus",""
2009,8,"Acomys cahirinus",""
2010,7,"Acomys cahirinus",""
2011,7,"Acomys cahirinus",""
2012,8,"Acomys cahirinus",""
2013,4,"Acomys cahirinus",""
2014,8,"Acomys cahirinus",""
2015,7,"Acomys cahirinus",""
2016,8,"Acomys cahirinus",""
2017,4,"Acomys cahirinus",""
2018,7,"Acomys cahirinus",""
2019,9,"Acomys cahirinus",""
2020,12,"Acomys cahirinus",""
1967,1,"Acomys dimidiatus",""
1972,2,"Acomys dimidiatus",""
1976,1,"Acomys dimidiatus",""
1979,1,"Acomys dimidiatus",""
1980,1,"Acomys dimidiatus",""
1984,1,"Acomys dimidiatus",""
1988,1,"Acomys dimidiatus",""
1991,3,"Acomys dimidiatus",""
1992,1,"Acomys dimidiatus",""
1993,5,"Acomys dimidiatus",""
1994,2,"Acomys dimidiatus",""
1995,1,"Acomys dimidiatus",""
1996,5,"Acomys dimidiatus",""
1998,2,"Acomys dimidiatus",""
1999,3,"Acomys dimidiatus",""
2000,1,"Acomys dimidiatus",""
2001,3,"Acomys dimidiatus",""
2002,1,"Acomys dimidiatus",""
2003,2,"Acomys dimidiatus",""
2004,2,"Acomys dimidiatus",""
2005,1,"Acomys dimidiatus",""
2006,1,"Acomys dimidiatus",""
2007,3,"Acomys dimidiatus",""
2008,1,"Acomys dimidiatus",""
2009,2,"Acomys dimidiatus",""
2010,1,"Acomys dimidiatus",""
2011,1,"Acomys dimidiatus",""
2012,1,"Acomys dimidiatus",""
2013,2,"Acomys dimidiatus",""
2014,3,"Acomys dimidiatus",""
2015,3,"Acomys dimidiatus",""
2016,2,"Acomys dimidiatus",""
