Year,NumPubs,Host,Note
1976,1,abrothrix longipilis,
1981,1,abrothrix longipilis,
1982,1,abrothrix longipilis,
1992,1,abrothrix longipilis,
1995,2,abrothrix longipilis,
2001,1,abrothrix longipilis,
2004,1,abrothrix longipilis,
2005,1,abrothrix longipilis,
2009,1,abrothrix longipilis,
2010,1,abrothrix longipilis,
2012,1,abrothrix longipilis,
2013,1,abrothrix longipilis,
2017,1,abrothrix longipilis,
2018,1,abrothrix longipilis,
2020,3,abrothrix longipilis,
1981,1,abrothrix olivaceus,
1982,2,abrothrix olivaceus,
1988,1,abrothrix olivaceus,
1992,1,abrothrix olivaceus,
1995,1,abrothrix olivaceus,
2001,1,abrothrix olivaceus,
2004,1,abrothrix olivaceus,
2005,2,abrothrix olivaceus,
2011,1,abrothrix olivaceus,
2012,1,abrothrix olivaceus,
2016,1,abrothrix olivaceus,
2017,1,abrothrix olivaceus,
2018,1,abrothrix olivaceus,
2019,1,abrothrix olivaceus,
1982,1,abrothrix sanborni,
2018,1,abrothrix sanborni,
2013,1,acerodon celebensis,
1972,2,acinonyx jubatus,
1978,2,acinonyx jubatus,
1979,1,acinonyx jubatus,
1981,3,acinonyx jubatus,
1983,1,acinonyx jubatus,
1984,1,acinonyx jubatus,
1985,1,acinonyx jubatus,
1986,2,acinonyx jubatus,
1987,2,acinonyx jubatus,
1989,1,acinonyx jubatus,
1990,4,acinonyx jubatus,
1991,6,acinonyx jubatus,
1992,3,acinonyx jubatus,
1993,3,acinonyx jubatus,
1994,3,acinonyx jubatus,
1995,3,acinonyx jubatus,
1996,2,acinonyx jubatus,
1997,9,acinonyx jubatus,
1998,5,acinonyx jubatus,
1999,4,acinonyx jubatus,
2000,5,acinonyx jubatus,
2001,4,acinonyx jubatus,
2002,2,acinonyx jubatus,
2003,14,acinonyx jubatus,
2004,12,acinonyx jubatus,
2005,3,acinonyx jubatus,
2006,12,acinonyx jubatus,
2007,11,acinonyx jubatus,
2008,12,acinonyx jubatus,
2009,5,acinonyx jubatus,
2010,9,acinonyx jubatus,
2011,22,acinonyx jubatus,
2012,10,acinonyx jubatus,
2013,14,acinonyx jubatus,
2014,13,acinonyx jubatus,
2015,23,acinonyx jubatus,
2016,28,acinonyx jubatus,
2017,21,acinonyx jubatus,
2018,15,acinonyx jubatus,
2019,19,acinonyx jubatus,
2020,17,acinonyx jubatus,
1961,1,acomys cahirinus,
1963,1,acomys cahirinus,
1966,1,acomys cahirinus,
1967,5,acomys cahirinus,
1968,3,acomys cahirinus,
1969,3,acomys cahirinus,
1970,4,acomys cahirinus,
1971,5,acomys cahirinus,
1972,7,acomys cahirinus,
1973,2,acomys cahirinus,
1974,8,acomys cahirinus,
1975,9,acomys cahirinus,
1976,7,acomys cahirinus,
1977,4,acomys cahirinus,
1978,1,acomys cahirinus,
1979,5,acomys cahirinus,
1980,3,acomys cahirinus,
1981,6,acomys cahirinus,
1982,1,acomys cahirinus,
1983,3,acomys cahirinus,
1984,6,acomys cahirinus,
1985,6,acomys cahirinus,
1986,5,acomys cahirinus,
1987,6,acomys cahirinus,
1988,11,acomys cahirinus,
1989,8,acomys cahirinus,
1990,5,acomys cahirinus,
1991,2,acomys cahirinus,
1992,6,acomys cahirinus,
1993,5,acomys cahirinus,
1994,2,acomys cahirinus,
1995,3,acomys cahirinus,
1996,5,acomys cahirinus,
1997,3,acomys cahirinus,
1998,4,acomys cahirinus,
1999,6,acomys cahirinus,
2000,4,acomys cahirinus,
2001,5,acomys cahirinus,
2002,5,acomys cahirinus,
2003,3,acomys cahirinus,
2004,4,acomys cahirinus,
2005,4,acomys cahirinus,
2006,5,acomys cahirinus,
2007,2,acomys cahirinus,
2008,5,acomys cahirinus,
2009,8,acomys cahirinus,
2010,7,acomys cahirinus,
2011,7,acomys cahirinus,
2012,8,acomys cahirinus,
2013,4,acomys cahirinus,
2014,8,acomys cahirinus,
2015,7,acomys cahirinus,
2016,8,acomys cahirinus,
2017,4,acomys cahirinus,
2018,7,acomys cahirinus,
2019,9,acomys cahirinus,
2020,12,acomys cahirinus,
1967,1,acomys dimidiatus,
1972,2,acomys dimidiatus,
1976,1,acomys dimidiatus,
1979,1,acomys dimidiatus,
1980,1,acomys dimidiatus,
1984,1,acomys dimidiatus,
1988,1,acomys dimidiatus,
1991,3,acomys dimidiatus,
1992,1,acomys dimidiatus,
1993,5,acomys dimidiatus,
1994,2,acomys dimidiatus,
1995,1,acomys dimidiatus,
1996,5,acomys dimidiatus,
1998,2,acomys dimidiatus,
1999,3,acomys dimidiatus,
2000,1,acomys dimidiatus,
2001,3,acomys dimidiatus,
2002,1,acomys dimidiatus,
2003,2,acomys dimidiatus,
2004,2,acomys dimidiatus,
2005,1,acomys dimidiatus,
2006,1,acomys dimidiatus,
2007,3,acomys dimidiatus,
2008,1,acomys dimidiatus,
2009,2,acomys dimidiatus,
2010,1,acomys dimidiatus,
2011,1,acomys dimidiatus,
2012,1,acomys dimidiatus,
2013,2,acomys dimidiatus,
2014,3,acomys dimidiatus,
2015,3,acomys dimidiatus,
2016,2,acomys dimidiatus,
2017,2,acomys dimidiatus,
2018,3,acomys dimidiatus,
2019,1,acomys dimidiatus,
2020,2,acomys dimidiatus,
1995,1,acomys subspinosus,
2002,1,acomys subspinosus,
2019,1,acomys subspinosus,
2018,1,acomys wilsoni,
2019,1,acomys wilsoni,
1978,1,addax nasomaculatus,
1983,1,addax nasomaculatus,
1984,1,addax nasomaculatus,
1993,1,addax nasomaculatus,
1996,3,addax nasomaculatus,
1998,1,addax nasomaculatus,
2001,1,addax nasomaculatus,
2002,1,addax nasomaculatus,
2003,2,addax nasomaculatus,
2004,1,addax nasomaculatus,
2007,2,addax nasomaculatus,
2008,2,addax nasomaculatus,
2009,1,addax nasomaculatus,
2010,1,addax nasomaculatus,
2011,1,addax nasomaculatus,
2013,1,addax nasomaculatus,
2015,1,addax nasomaculatus,
2016,1,addax nasomaculatus,
2017,3,addax nasomaculatus,
2018,1,addax nasomaculatus,
2019,1,addax nasomaculatus,
