"Year","NumPubs","Host","Note","VirusRelated"
2001,1,"Abrothrix longipilis","",TRUE
2004,1,"Abrothrix longipilis","",TRUE
2009,1,"Abrothrix longipilis","",TRUE
2004,1,"Abrothrix olivaceus","",TRUE
2018,0,"Abrothrix sanborni","No publications",TRUE
1979,1,"Acinonyx jubatus","",TRUE
1985,1,"Acinonyx jubatus","",TRUE
1989,1,"Acinonyx jubatus","",TRUE
1990,1,"Acinonyx jubatus","",TRUE
1991,2,"Acinonyx jubatus","",TRUE
1992,1,"Acinonyx jubatus","",TRUE
1993,1,"Acinonyx jubatus","",TRUE
2000,2,"Acinonyx jubatus","",TRUE
2003,4,"Acinonyx jubatus","",TRUE
2004,2,"Acinonyx jubatus","",TRUE
2005,1,"Acinonyx jubatus","",TRUE
2006,3,"Acinonyx jubatus","",TRUE
2009,2,"Acinonyx jubatus","",TRUE
2010,1,"Acinonyx jubatus","",TRUE
2011,1,"Acinonyx jubatus","",TRUE
2013,1,"Acinonyx jubatus","",TRUE
2015,2,"Acinonyx jubatus","",TRUE
2016,1,"Acinonyx jubatus","",TRUE
2017,2,"Acinonyx jubatus","",TRUE
2019,1,"Acinonyx jubatus","",TRUE
2020,1,"Acinonyx jubatus","",TRUE
2012,1,"Acomys cahirinus","",TRUE
2014,1,"Acomys cahirinus","",TRUE
1996,4,"Acomys dimidiatus","",TRUE
2017,1,"Addax nasomaculatus","",TRUE
1975,1,"Aepyceros melampus","",TRUE
1978,1,"Aepyceros melampus","",TRUE
1986,1,"Aepyceros melampus","",TRUE
1993,1,"Aepyceros melampus","",TRUE
1998,1,"Aepyceros melampus","",TRUE
2000,1,"Aepyceros melampus","",TRUE
2005,1,"Aepyceros melampus","",TRUE
2009,1,"Aepyceros melampus","",TRUE
2010,1,"Aepyceros melampus","",TRUE
2015,1,"Aepyceros melampus","",TRUE
2020,1,"Aepyceros melampus","",TRUE
2018,0,"Aethomys kaiseri","No publications",TRUE
1994,1,"Ailuropoda melanoleuca","",TRUE
2007,1,"Ailuropoda melanoleuca","",TRUE
2008,1,"Ailuropoda melanoleuca","",TRUE
2009,2,"Ailuropoda melanoleuca","",TRUE
2013,3,"Ailuropoda melanoleuca","",TRUE
2014,2,"Ailuropoda melanoleuca","",TRUE
2016,1,"Ailuropoda melanoleuca","",TRUE
2017,2,"Ailuropoda melanoleuca","",TRUE
2018,1,"Ailuropoda melanoleuca","",TRUE
2019,1,"Ailuropoda melanoleuca","",TRUE
1976,1,"Ailurus fulgens","",TRUE
1983,1,"Ailurus fulgens","",TRUE
1989,1,"Ailurus fulgens","",TRUE
1995,1,"Ailurus fulgens","",TRUE
2001,1,"Ailurus fulgens","",TRUE
2006,1,"Ailurus fulgens","",TRUE
2007,1,"Ailurus fulgens","",TRUE
2008,1,"Ailurus fulgens","",TRUE
2010,1,"Ailurus fulgens","",TRUE
2017,1,"Ailurus fulgens","",TRUE
2018,1,"Ailurus fulgens","",TRUE
2019,1,"Ailurus fulgens","",TRUE
2020,1,"Ailurus fulgens","",TRUE
1988,1,"Akodon azarae","",TRUE
1989,1,"Akodon azarae","",TRUE
1991,1,"Akodon azarae","",TRUE
2003,1,"Akodon azarae","",TRUE
2011,1,"Akodon azarae","",TRUE
2019,1,"Akodon azarae","",TRUE
2020,1,"Akodon azarae","",TRUE
2010,1,"Akodon cursor","",TRUE
2011,1,"Akodon cursor","",TRUE
2009,2,"Akodon montensis","",TRUE
2010,1,"Akodon montensis","",TRUE
2011,1,"Akodon montensis","",TRUE
2012,2,"Akodon montensis","",TRUE
2013,1,"Akodon montensis","",TRUE
2014,2,"Akodon montensis","",TRUE
2018,2,"Akodon montensis","",TRUE
2019,1,"Akodon montensis","",TRUE
2010,1,"Akodon paranaensis","",TRUE
2012,2,"Akodon paranaensis","",TRUE
2013,1,"Akodon paranaensis","",TRUE
2014,2,"Akodon paranaensis","",TRUE
2004,1,"Akodon simulator","",TRUE
2002,1,"Akodon varius","",TRUE
1973,1,"Alcelaphus buselaphus","",TRUE
1994,1,"Alcelaphus buselaphus","",TRUE
2002,1,"Alcelaphus buselaphus","",TRUE
2010,1,"Alcelaphus buselaphus","",TRUE
1965,1,"Alces alces","",TRUE
1981,2,"Alces alces","",TRUE
1982,1,"Alces alces","",TRUE
1983,3,"Alces alces","",TRUE
1985,1,"Alces alces","",TRUE
1986,1,"Alces alces","",TRUE
1991,1,"Alces alces","",TRUE
1994,1,"Alces alces","",TRUE
1995,1,"Alces alces","",TRUE
1998,1,"Alces alces","",TRUE
2002,2,"Alces alces","",TRUE
2004,2,"Alces alces","",TRUE
2007,1,"Alces alces","",TRUE
2009,1,"Alces alces","",TRUE
2012,1,"Alces alces","",TRUE
2013,4,"Alces alces","",TRUE
2014,1,"Alces alces","",TRUE
2015,2,"Alces alces","",TRUE
2016,1,"Alces alces","",TRUE
2017,3,"Alces alces","",TRUE
2018,3,"Alces alces","",TRUE
2020,4,"Alces alces","",TRUE
1953,1,"Allenopithecus nigroviridis","",TRUE
2001,1,"Allenopithecus nigroviridis","",TRUE
2003,1,"Allenopithecus nigroviridis","",TRUE
1999,1,"Allochrocebus lhoesti","",TRUE
2000,1,"Allochrocebus lhoesti","",TRUE
2001,1,"Allochrocebus lhoesti","",TRUE
2013,1,"Allochrocebus lhoesti","",TRUE
1999,1,"Allochrocebus solatus","",TRUE
2001,1,"Allochrocebus solatus","",TRUE
2011,1,"Allochrocebus solatus","",TRUE
2018,0,"Alouatta belzebul","No publications",TRUE
