Year,NumPubs,Host,Note,VirusRelated
2001,1,abrothrix longipilis,,TRUE
2004,1,abrothrix longipilis,,TRUE
2009,1,abrothrix longipilis,,TRUE
2004,1,abrothrix olivaceus,,TRUE
2020,0,abrothrix sanborni,No publications,TRUE
2013,1,acerodon celebensis,,TRUE
1979,1,acinonyx jubatus,,TRUE
1985,1,acinonyx jubatus,,TRUE
1989,1,acinonyx jubatus,,TRUE
1990,1,acinonyx jubatus,,TRUE
1991,2,acinonyx jubatus,,TRUE
1992,1,acinonyx jubatus,,TRUE
1993,1,acinonyx jubatus,,TRUE
2000,2,acinonyx jubatus,,TRUE
2003,4,acinonyx jubatus,,TRUE
2004,2,acinonyx jubatus,,TRUE
2005,1,acinonyx jubatus,,TRUE
2006,3,acinonyx jubatus,,TRUE
2009,2,acinonyx jubatus,,TRUE
2010,1,acinonyx jubatus,,TRUE
2011,1,acinonyx jubatus,,TRUE
2013,1,acinonyx jubatus,,TRUE
2015,2,acinonyx jubatus,,TRUE
2016,1,acinonyx jubatus,,TRUE
2017,2,acinonyx jubatus,,TRUE
2019,1,acinonyx jubatus,,TRUE
2020,1,acinonyx jubatus,,TRUE
2012,1,acomys cahirinus,,TRUE
2014,1,acomys cahirinus,,TRUE
1996,4,acomys dimidiatus,,TRUE
2020,0,acomys subspinosus,No publications,TRUE
2020,0,acomys wilsoni,No publications,TRUE
NA,NA,addax nasomaculatus,Lookup error,TRUE
1986,1,aeorestes cinereus,,TRUE
2001,1,aeorestes cinereus,,TRUE
2002,1,aeorestes cinereus,,TRUE
2005,1,aeorestes cinereus,,TRUE
2006,1,aeorestes cinereus,,TRUE
2007,1,aeorestes cinereus,,TRUE
2010,1,aeorestes cinereus,,TRUE
2012,1,aeorestes cinereus,,TRUE
2013,2,aeorestes cinereus,,TRUE
2015,1,aeorestes cinereus,,TRUE
2019,1,aeorestes cinereus,,TRUE
2020,0,aeorestes egregius,No publications,TRUE
1975,1,aepyceros melampus,,TRUE
1978,1,aepyceros melampus,,TRUE
1986,1,aepyceros melampus,,TRUE
1993,1,aepyceros melampus,,TRUE
1998,1,aepyceros melampus,,TRUE
2000,1,aepyceros melampus,,TRUE
2005,1,aepyceros melampus,,TRUE
2009,1,aepyceros melampus,,TRUE
2010,1,aepyceros melampus,,TRUE
2015,1,aepyceros melampus,,TRUE
2020,1,aepyceros melampus,,TRUE
1978,1,aethomys chrysophilus,,TRUE
1981,1,aethomys chrysophilus,,TRUE
1989,1,aethomys chrysophilus,,TRUE
1978,1,aethomys ineptus,,TRUE
1981,1,aethomys ineptus,,TRUE
1989,1,aethomys ineptus,,TRUE
2020,0,aethomys kaiseri,No publications,TRUE
2020,0,afronycteris nana,No publications,TRUE
NA,NA,ailuropoda melanoleuca,Lookup error,TRUE
1976,1,ailurus fulgens,,TRUE
1983,1,ailurus fulgens,,TRUE
1989,1,ailurus fulgens,,TRUE
1995,1,ailurus fulgens,,TRUE
2001,1,ailurus fulgens,,TRUE
2006,1,ailurus fulgens,,TRUE
2007,1,ailurus fulgens,,TRUE
2008,1,ailurus fulgens,,TRUE
2010,1,ailurus fulgens,,TRUE
2017,1,ailurus fulgens,,TRUE
2018,1,ailurus fulgens,,TRUE
2019,1,ailurus fulgens,,TRUE
2020,1,ailurus fulgens,,TRUE
1988,1,akodon azarae,,TRUE
1989,1,akodon azarae,,TRUE
1991,1,akodon azarae,,TRUE
2003,1,akodon azarae,,TRUE
2011,1,akodon azarae,,TRUE
2019,1,akodon azarae,,TRUE
2020,1,akodon azarae,,TRUE
2010,1,akodon cursor,,TRUE
2011,1,akodon cursor,,TRUE
1986,1,akodon molinae,,TRUE
1988,1,akodon molinae,,TRUE
2009,2,akodon montensis,,TRUE
2010,1,akodon montensis,,TRUE
2011,1,akodon montensis,,TRUE
2012,2,akodon montensis,,TRUE
2013,1,akodon montensis,,TRUE
2014,2,akodon montensis,,TRUE
2018,2,akodon montensis,,TRUE
2019,1,akodon montensis,,TRUE
2010,1,akodon paranaensis,,TRUE
2012,2,akodon paranaensis,,TRUE
2013,1,akodon paranaensis,,TRUE
2014,2,akodon paranaensis,,TRUE
2012,1,akodon serrensis,,TRUE
2014,1,akodon serrensis,,TRUE
2004,1,akodon simulator,,TRUE
2002,1,akodon varius,,TRUE
1973,1,alcelaphus buselaphus,,TRUE
1994,1,alcelaphus buselaphus,,TRUE
2002,1,alcelaphus buselaphus,,TRUE
2010,1,alcelaphus buselaphus,,TRUE
1965,1,alces alces,,TRUE
1981,2,alces alces,,TRUE
1982,1,alces alces,,TRUE
1983,3,alces alces,,TRUE
1985,1,alces alces,,TRUE
1986,1,alces alces,,TRUE
1991,1,alces alces,,TRUE
1994,1,alces alces,,TRUE
1995,1,alces alces,,TRUE
1998,1,alces alces,,TRUE
2002,2,alces alces,,TRUE
2004,2,alces alces,,TRUE
2007,1,alces alces,,TRUE
2009,1,alces alces,,TRUE
2012,1,alces alces,,TRUE
2013,4,alces alces,,TRUE
2014,1,alces alces,,TRUE
2015,2,alces alces,,TRUE
2016,1,alces alces,,TRUE
2017,3,alces alces,,TRUE
2018,3,alces alces,,TRUE
2020,4,alces alces,,TRUE
1981,1,alces americanus,,TRUE
1983,2,alces americanus,,TRUE
1996,1,alces americanus,,TRUE
2012,1,alces americanus,,TRUE
2018,1,alces americanus,,TRUE
2020,2,alces americanus,,TRUE
1953,1,allenopithecus nigroviridis,,TRUE
2001,1,allenopithecus nigroviridis,,TRUE
2003,1,allenopithecus nigroviridis,,TRUE
