"Year","NumPubs","Host","Note"
1959,1,"antilocapra americana",""
1968,1,"antilocapra americana",""
1969,1,"antilocapra americana",""
1970,2,"antilocapra americana",""
1972,3,"antilocapra americana",""
1974,2,"antilocapra americana",""
1975,2,"antilocapra americana",""
1976,2,"antilocapra americana",""
1977,5,"antilocapra americana",""
1979,1,"antilocapra americana",""
1980,2,"antilocapra americana",""
1981,2,"antilocapra americana",""
1982,1,"antilocapra americana",""
1983,2,"antilocapra americana",""
1984,1,"antilocapra americana",""
1985,2,"antilocapra americana",""
1986,2,"antilocapra americana",""
1987,1,"antilocapra americana",""
1988,1,"antilocapra americana",""
1989,1,"antilocapra americana",""
1990,2,"antilocapra americana",""
1991,1,"antilocapra americana",""
1994,2,"antilocapra americana",""
1995,1,"antilocapra americana",""
1996,2,"antilocapra americana",""
1997,1,"antilocapra americana",""
1998,1,"antilocapra americana",""
1999,1,"antilocapra americana",""
2000,1,"antilocapra americana",""
2001,3,"antilocapra americana",""
2002,2,"antilocapra americana",""
2003,2,"antilocapra americana",""
2004,1,"antilocapra americana",""
2005,1,"antilocapra americana",""
2006,4,"antilocapra americana",""
2007,3,"antilocapra americana",""
2008,4,"antilocapra americana",""
2010,2,"antilocapra americana",""
2011,1,"antilocapra americana",""
2012,4,"antilocapra americana",""
2013,2,"antilocapra americana",""
2014,8,"antilocapra americana",""
2015,4,"antilocapra americana",""
2016,2,"antilocapra americana",""
2017,2,"antilocapra americana",""
2018,2,"antilocapra americana",""
2019,1,"antilocapra americana",""
2020,1,"antilocapra americana",""
1978,1,"addax nasomaculatus",""
1983,1,"addax nasomaculatus",""
1984,1,"addax nasomaculatus",""
1993,1,"addax nasomaculatus",""
1996,3,"addax nasomaculatus",""
1998,1,"addax nasomaculatus",""
2001,1,"addax nasomaculatus",""
2002,1,"addax nasomaculatus",""
2003,2,"addax nasomaculatus",""
2004,1,"addax nasomaculatus",""
2007,2,"addax nasomaculatus",""
2008,2,"addax nasomaculatus",""
2009,1,"addax nasomaculatus",""
2010,1,"addax nasomaculatus",""
2011,1,"addax nasomaculatus",""
2013,1,"addax nasomaculatus",""
2015,1,"addax nasomaculatus",""
2016,1,"addax nasomaculatus",""
2017,3,"addax nasomaculatus",""
2018,1,"addax nasomaculatus",""
2019,1,"addax nasomaculatus",""
2020,1,"addax nasomaculatus",""
1971,1,"aepyceros melampus",""
1972,3,"aepyceros melampus",""
1973,1,"aepyceros melampus",""
1975,5,"aepyceros melampus",""
1976,4,"aepyceros melampus",""
1977,2,"aepyceros melampus",""
1978,5,"aepyceros melampus",""
1979,2,"aepyceros melampus",""
1980,2,"aepyceros melampus",""
1982,2,"aepyceros melampus",""
1983,2,"aepyceros melampus",""
1984,2,"aepyceros melampus",""
1985,1,"aepyceros melampus",""
1986,2,"aepyceros melampus",""
1987,2,"aepyceros melampus",""
1988,4,"aepyceros melampus",""
1989,4,"aepyceros melampus",""
1990,3,"aepyceros melampus",""
1991,1,"aepyceros melampus",""
1992,1,"aepyceros melampus",""
1993,3,"aepyceros melampus",""
1995,2,"aepyceros melampus",""
1996,2,"aepyceros melampus",""
1997,2,"aepyceros melampus",""
1998,5,"aepyceros melampus",""
1999,4,"aepyceros melampus",""
2000,3,"aepyceros melampus",""
2001,2,"aepyceros melampus",""
2002,3,"aepyceros melampus",""
2003,3,"aepyceros melampus",""
2004,4,"aepyceros melampus",""
2005,4,"aepyceros melampus",""
2006,1,"aepyceros melampus",""
2007,4,"aepyceros melampus",""
2008,3,"aepyceros melampus",""
2009,3,"aepyceros melampus",""
2010,7,"aepyceros melampus",""
2011,6,"aepyceros melampus",""
2012,7,"aepyceros melampus",""
2013,2,"aepyceros melampus",""
2014,5,"aepyceros melampus",""
2015,3,"aepyceros melampus",""
2016,3,"aepyceros melampus",""
2017,4,"aepyceros melampus",""
2018,2,"aepyceros melampus",""
2019,5,"aepyceros melampus",""
2020,8,"aepyceros melampus",""
1973,1,"alcelaphus buselaphus",""
1975,3,"alcelaphus buselaphus",""
1978,2,"alcelaphus buselaphus",""
1981,1,"alcelaphus buselaphus",""
1984,2,"alcelaphus buselaphus",""
1986,1,"alcelaphus buselaphus",""
1989,1,"alcelaphus buselaphus",""
1992,1,"alcelaphus buselaphus",""
1993,1,"alcelaphus buselaphus",""
1994,1,"alcelaphus buselaphus",""
1995,1,"alcelaphus buselaphus",""
1999,2,"alcelaphus buselaphus",""
2001,1,"alcelaphus buselaphus",""
2002,1,"alcelaphus buselaphus",""
2003,1,"alcelaphus buselaphus",""
2005,1,"alcelaphus buselaphus",""
2007,1,"alcelaphus buselaphus",""
2008,1,"alcelaphus buselaphus",""
2009,2,"alcelaphus buselaphus",""
2010,1,"alcelaphus buselaphus",""
2015,1,"alcelaphus buselaphus",""
2017,1,"alcelaphus buselaphus",""
2018,1,"alcelaphus buselaphus",""
2020,1,"alcelaphus buselaphus",""
1996,1,"alcelaphus lichtensteinii",""
2002,1,"alcelaphus lichtensteinii",""
1968,1,"ammotragus lervia",""
1970,4,"ammotragus lervia",""
1972,1,"ammotragus lervia",""
1979,2,"ammotragus lervia",""
1980,3,"ammotragus lervia",""
1981,2,"ammotragus lervia",""
1983,2,"ammotragus lervia",""
1987,1,"ammotragus lervia",""
1988,2,"ammotragus lervia",""
1990,1,"ammotragus lervia",""
1996,1,"ammotragus lervia",""
2000,4,"ammotragus lervia",""
2003,1,"ammotragus lervia",""
2004,2,"ammotragus lervia",""
2005,2,"ammotragus lervia",""
2006,4,"ammotragus lervia",""
2007,3,"ammotragus lervia",""
2008,1,"ammotragus lervia",""
2009,3,"ammotragus lervia",""
2010,1,"ammotragus lervia",""
2011,3,"ammotragus lervia",""
2012,2,"ammotragus lervia",""
2013,2,"ammotragus lervia",""
2014,1,"ammotragus lervia",""
2015,1,"ammotragus lervia",""
2016,3,"ammotragus lervia",""
2017,3,"ammotragus lervia",""
2018,3,"ammotragus lervia",""
2019,2,"ammotragus lervia",""
2020,3,"ammotragus lervia",""
1971,1,"antidorcas marsupialis",""
1979,1,"antidorcas marsupialis",""
1981,1,"antidorcas marsupialis",""
1982,3,"antidorcas marsupialis",""
1983,2,"antidorcas marsupialis",""
1984,1,"antidorcas marsupialis",""
1985,1,"antidorcas marsupialis",""
1988,1,"antidorcas marsupialis",""
1992,1,"antidorcas marsupialis",""
1993,1,"antidorcas marsupialis",""
