"Year","NumPubs","Host","Note"
NA,NA,"martes americana caurina","Lookup error"
2002,1,"saccolaimus flaviventris",""
2003,1,"saccolaimus flaviventris",""
2010,1,"saccolaimus flaviventris",""
2018,1,"saccolaimus flaviventris",""
2019,1,"saccolaimus flaviventris",""
1971,1,"miniopterus fuliginosus",""
1980,1,"miniopterus fuliginosus",""
1981,2,"miniopterus fuliginosus",""
1982,2,"miniopterus fuliginosus",""
1983,1,"miniopterus fuliginosus",""
1984,2,"miniopterus fuliginosus",""
1985,1,"miniopterus fuliginosus",""
1987,1,"miniopterus fuliginosus",""
1988,1,"miniopterus fuliginosus",""
1992,1,"miniopterus fuliginosus",""
2002,1,"miniopterus fuliginosus",""
2006,1,"miniopterus fuliginosus",""
2008,1,"miniopterus fuliginosus",""
2010,3,"miniopterus fuliginosus",""
2011,2,"miniopterus fuliginosus",""
2015,2,"miniopterus fuliginosus",""
2016,3,"miniopterus fuliginosus",""
2017,2,"miniopterus fuliginosus",""
2018,5,"miniopterus fuliginosus",""
2019,2,"miniopterus fuliginosus",""
2020,5,"miniopterus fuliginosus",""
1972,1,"perognathus parvus",""
1973,1,"perognathus parvus",""
1980,1,"perognathus parvus",""
1983,1,"perognathus parvus",""
1984,1,"perognathus parvus",""
1988,1,"perognathus parvus",""
1996,1,"perognathus parvus",""
1998,1,"perognathus parvus",""
2003,1,"perognathus parvus",""
2015,1,"perognathus parvus",""
2019,1,"perognathus parvus",""
2014,1,"conopophaga aurita",""
2008,2,"eurillas latirostris",""
2009,3,"eurillas latirostris",""
2015,1,"eurillas latirostris",""
2016,1,"eurillas latirostris",""
2002,1,"eurillas virens",""
2005,2,"eurillas virens",""
2006,1,"eurillas virens",""
2007,1,"eurillas virens",""
2010,1,"eurillas virens",""
2011,1,"eurillas virens",""
2013,1,"eurillas virens",""
2017,1,"eurillas virens",""
1972,1,"thryothorus ludovicianus",""
1989,1,"thryothorus ludovicianus",""
1999,1,"thryothorus ludovicianus",""
2000,1,"thryothorus ludovicianus",""
2005,1,"thryothorus ludovicianus",""
2006,1,"thryothorus ludovicianus",""
2007,1,"thryothorus ludovicianus",""
2012,1,"thryothorus ludovicianus",""
2013,1,"thryothorus ludovicianus",""
2014,1,"thryothorus ludovicianus",""
2015,1,"thryothorus ludovicianus",""
2017,1,"thryothorus ludovicianus",""
2018,2,"thryothorus ludovicianus",""
2005,1,"alethe diademata",""
2008,1,"alethe diademata",""
2015,1,"alethe diademata",""
2006,1,"aratinga jandaya",""
1991,1,"aratinga solstitialis",""
2004,1,"aratinga solstitialis",""
2008,1,"aratinga solstitialis",""
2012,1,"aratinga solstitialis",""
2015,1,"aratinga solstitialis",""
2019,2,"aratinga solstitialis",""
2020,1,"aratinga solstitialis",""
