"Host","Synonym"
"abrothrix longipilis","abrothrix longipilis"
"abrothrix longipilis","akodon longipilis"
"abrothrix longipilis","acodon hirtus"
"abrothrix longipilis","akodon longipilis apta"
"abrothrix longipilis","akodon longipilis castaneus"
"abrothrix olivaceus","abrothrix olivaceus"
"abrothrix olivaceus","akodon mansoensis"
"abrothrix olivaceus","akodon olivaceus"
"abrothrix olivaceus","akodon xanthorhinus"
"abrothrix sanborni","abrothrix sanborni"
"abrothrix sanborni","akodon sanborni"
"acerodon celebensis","acerodon celebensis"
"acerodon celebensis","pteropus celebensis"
"acinonyx jubatus","acinonyx jubatus"
"acomys cahirinus","lookup fail"
"acomys dimidiatus","acomys dimidiatus"
"acomys dimidiatus","acomys flavidus"
"acomys dimidiatus","mus hispidus"
"acomys dimidiatus","mus megalotis"
"acomys dimidiatus","acomys dimidiatus homericus"
"acomys subspinosus","acomys subspinosus"
"acomys wilsoni","acomys wilsoni"
"acomys wilsoni","acomys ablutus"
"addax nasomaculatus","addax nasomaculatus"
"aeorestes cinereus","aeorestes cinereus"
"aeorestes cinereus","lasiurus cinereus"
"aeorestes cinereus","lasiurus cinereus cinereus"
"aeorestes cinereus","vespertilio linereus"
"aeorestes cinereus","vespertilio cinereus"
"aeorestes egregius","aeorestes egregius"
"aeorestes egregius","lasiurus egregius"
"aeorestes egregius","atalapha egregia"
"aepyceros melampus","aepyceros melampus"
"aethomys chrysophilus","aethomys chrysophilus"
"aethomys chrysophilus","mus voi"
"aethomys chrysophilus","mus chrysophilus acticola"
"aethomys chrysophilus","aethomys chrysophilus imago"
"aethomys ineptus","aethomys ineptus"
"aethomys ineptus","aethomys chrysophilus capricornis"
"aethomys ineptus","aethomys chrysophilus fouriei"
"aethomys ineptus","aethomys chrysophilus harei"
"aethomys ineptus","aethomys chrysophilus magalakuini"
"aethomys ineptus","mus chrysophilus pretoriae"
"aethomys ineptus","aethomys chrysophilus tongensis"
"aethomys ineptus","mus chrysophilus tzaneenensis"
"aethomys kaiseri","aethomys kaiseri"
"aethomys kaiseri","mus manteufeli"
"aethomys kaiseri","mus walambae"
"aethomys kaiseri","epimys kaiseri turneri"
"afronycteris nana","lookup fail"
"ailuropoda melanoleuca","ailuropoda melanoleuca"
"ailuropoda melanoleuca","ursus melanoleucus"
"ailurus fulgens","ailurus fulgens"
"akodon azarae","akodon azarae"
"akodon cursor","akodon cursor"
"akodon molinae","akodon molinae"
"akodon montensis","akodon montensis"
"akodon paranaensis","akodon paranaensis"
"akodon serrensis","akodon serrensis"
"akodon simulator","akodon simulator"
"akodon varius","akodon varius"
"alcelaphus buselaphus","alcelaphus buselaphus"
"alces alces","alces alces"
"alces alces","cervus alces"
"alces americanus","alces americanus"
"alces americanus","cervus americanus"
"allenopithecus nigroviridis","allenopithecus nigroviridis"
"allochrocebus lhoesti","allochrocebus lhoesti"
"allochrocebus lhoesti","cercopithecus lhoesti"
"allochrocebus lhoesti","cercopithecus thomasi"
"allochrocebus lhoesti","cercopithecus thomasi rutschuricus"
"allochrocebus preussi","allochrocebus preussi"
"allochrocebus solatus","allochrocebus solatus"
"allochrocebus solatus","cercopithecus solatus"
"allocricetulus eversmanni","allocricetulus eversmanni"
"allocricetulus eversmanni","cricetulus beljawi"
"allocricetulus eversmanni","mesocricetus microdon"
"allocricetulus eversmanni","cricetulus eversmanni belajevi"
"allocricetulus eversmanni","cricetulus eversmanni beljaevi"
"alouatta belzebul","alouatta belzebul"
"alouatta belzebul","simia beelzebub"
"alouatta belzebul","mycetes flavimanus"
"alouatta belzebul","mycetes rufimanus"
"alouatta belzebul","alouatta belzebul tapojozensis"
"alouatta belzebul","mycetes belzebul mexianae"
"alouatta caraya","alouatta caraya"
"alouatta caraya","mycetes barbatus"
"alouatta caraya","stentor niger"
"alouatta caraya","simia straminea"
"alouatta caraya","simia caraya"
"alouatta guariba","alouatta guariba"
"alouatta guariba","simia guariba"
"alouatta macconnelli","alouatta macconnelli"
"alouatta palliata","alouatta palliata"
"alouatta palliata","alouatta aequatorialis"
"alouatta palliata","alouatta inclamax"
"alouatta palliata","mycetes niger"
"alouatta palliata","alouatta palliata inconsonans"
"alouatta palliata","alouatta palliata quichua"
"alouatta palliata","alouatta palliata matagalpae"
"alouatta pigra","alouatta pigra"
"alouatta pigra","mycetes villosus"
"alouatta pigra","alouatta palliata luctuosa"
"alouatta sara","alouatta sara"
"alouatta seniculus","alouatta seniculus"
"alticola argentatus","alticola argentatus"
"alticola argentatus","microtus argurus"
"alticola argentatus","arvicola blanfordi"
"alticola argentatus","alticola gracilis"
"alticola argentatus","alticola longicauda"
"alticola argentatus","alticola phasma"
"alticola argentatus","arvicola severtzovi"
"alticola argentatus","alticola villosa"
"alticola argentatus","alticola worthingtoni"
"alticola argentatus","alticola blanfordi lahulius"
"alticola argentatus","alticola argentata rosanovi"
"alticola argentatus","alticola argentata shnitnikovi"
"alticola argentatus","alticola worthingtoni subluteus"
"ammospermophilus nelsoni","ammospermophilus nelsoni"
"ammotragus lervia","ammotragus lervia"
"anoura caudifer","anoura caudifer"
"anoura caudifer","anoura caudifera"
"anoura caudifer","glossophaga caudifer"
"anoura geoffroyi","anoura geoffroyi"
"anourosorex squamipes","anourosorex squamipes"
"anourosorex yamashinai","anourosorex yamashinai"
"antidorcas marsupialis","antidorcas marsupialis"
"antilocapra americana","antilocapra americana"
"antilocapra americana","antilocapra anteflexa"
"antilocapra americana","antilope americana"
"antilope cervicapra","antilope cervicapra"
"antrozous dubiaquercus","lookup fail"
"antrozous pallidus","antrozous pallidus"
"aonyx cinereus","lookup fail"
"aotus azarai","lookup fail"
"aotus griseimembra","aotus griseimembra"
"aotus griseimembra","aotus bipunstatus"
"aotus griseimembra","aotus lemurinus griseimembra"
"aotus lemurinus","aotus lemurinus"
"aotus lemurinus","aotus hershkovitzi"
"aotus lemurinus","aotus pervigilis"
"aotus lemurinus","aotus aversus"
"aotus lemurinus","aotus lanius"
"aotus lemurinus","nyctipithecus hirsutus"
"aotus lemurinus","nyctipithecus villosus"
"aotus nancymaae","lookup fail"
"aotus trivirgatus","aotus trivirgatus"
"aotus trivirgatus","cheirogaleus commersonii"
"aotus trivirgatus","nyctipithecus duruculi"
"aotus trivirgatus","nyctipithecus felinus"
"aotus vociferans","aotus vociferans"
"aotus vociferans","aotus gularis"
"aotus vociferans","aotus microdon"
"aotus vociferans","nyctipithecus oseryi"
"aotus vociferans","nyctipithecus rufipes"
"aotus vociferans","nyctipithecus spixi"
"aotus vociferans","nyctipithecus vociferans"
"apodemus agrarius","apodemus agrarius"
"apodemus agrarius","mus harti"
"apodemus agrarius","mus ningpoensis"
"apodemus agrarius","mus rubens"
"apodemus agrarius","mus agrarius albostriatus"
"apodemus agrarius","apodemus agrarius caucasicus"
"apodemus agrarius","apodemus agrarius coreae"
"apodemus agrarius","apodemus agrarius gloveri"
"apodemus agrarius","apodemus agrarius insulaemus"
"apodemus agrarius","mus agrarius maculatus"
"apodemus agrarius","mus agrarius mantchuricus"
"apodemus agrarius","apodemus agrarius nikolskii"
"apodemus agrarius","apodemus agrarius ognevi"
"apodemus agrarius","apodemus agrarius pallidior"
"apodemus agrarius","apodemus agrarius septentrionalis"
"apodemus agrarius","apodemus agrarius tianschanicus"
"apodemus agrarius","apodemus agrarius volgensis"
"apodemus argenteus","apodemus argenteus"
"apodemus argenteus","micromys geisha"
"apodemus argenteus","micromys geisha celatus"
"apodemus argenteus","micromys geisha hokkaidi"
"apodemus argenteus","apodemus geisha sagax"
"apodemus argenteus","apodemus geisha tanei"
"apodemus argenteus","apodemus geisha yakui"
"apodemus chejuensis","lookup fail"
"apodemus chevrieri","apodemus chevrieri"
"apodemus chevrieri","apodemus fergussoni"
"apodemus draco","apodemus draco"
"apodemus draco","mus argenteus"
"apodemus draco","mus badius"
"apodemus draco","apodemus ilex"
"apodemus draco","apodemus speciosus orestes"
"apodemus flavicollis","apodemus flavicollis"
"apodemus flavicollis","apodemus arianus"
"apodemus flavicollis","mus arianus"
"apodemus flavicollis","mus cellarius"
"apodemus flavicollis","mus erythronotus"
"apodemus flavicollis","apodemus flavicollis brauneri"
"apodemus flavicollis","mus sylvaticus fennicus"
"apodemus flavicollis","mus sylvaticus princeps"
"apodemus flavicollis","apodemus flavicollis samariensis"
"apodemus flavicollis","apodemus flavicollis saturatus"
"apodemus flavicollis","sylvaemus sylvaticus stankovici"
"apodemus flavicollis","mus sylvaticus typicus"
"apodemus flavicollis","mus sylvaticus wintoni"
"apodemus ilex","lookup fail"
"apodemus latronum","apodemus latronum"
"apodemus mystacinus","apodemus mystacinus"
"apodemus mystacinus","apodemus mystacinus euxinus"
"apodemus mystacinus","apodemus flavicollis pohlei"
"apodemus mystacinus","apodemus mystacinus rhodius"
"apodemus mystacinus","mus mystacinus smyrnensis"
"apodemus pallipes","apodemus pallipes"
"apodemus pallipes","apodemus wardi"
"apodemus pallipes","micromys sylvaticus pentax"
"apodemus pallipes","micromys sylvaticus wardi"
"apodemus peninsulae","apodemus peninsulae"
"apodemus peninsulae","apodemus nigritalus"
"apodemus peninsulae","apodemus praetor"
"apodemus peninsulae","mus tscherga"
"apodemus peninsulae","micromys speciosus giliacus"
"apodemus peninsulae","mus sylvaticus major"
"apodemus peninsulae","sylvimus sylvaticus majusculus"
"apodemus peninsulae","mus major rufulus"
"apodemus ponticus","apodemus ponticus"
"apodemus ponticus","apodemus flavicollis argyropuloi"
"apodemus ponticus","apodemus flavicollis parvus"
"apodemus speciosus","apodemus speciosus"
"apodemus speciosus","micromys speciosus ainu"
"apodemus speciosus","apodemus speciosus dorsalis"
"apodemus speciosus","apodemus speciosus insperatus"
"apodemus speciosus","micromys speciosus navigator"
"apodemus speciosus","apodemus speciosus sadoensis"
"apodemus speciosus","apodemus speciosus tusimaensis"
"apodemus sylvaticus","apodemus sylvaticus"
"apodemus sylvaticus","mus algirus"
"apodemus sylvaticus","mus chamaeropsis"
"apodemus sylvaticus","musculus dichrurus"
"apodemus sylvaticus","mus hayi"
"apodemus sylvaticus","mus hebridensis"
"apodemus sylvaticus","mus hirtensis"
"apodemus sylvaticus","mus intermedius"
"apodemus sylvaticus","mus islandicus"
"apodemus sylvaticus","mus pecchioli"
"apodemus sylvaticus","mus reboudia"
"apodemus sylvaticus","mus sylvaticus albus"
"apodemus sylvaticus","mus sylvaticus alpinus"
"apodemus sylvaticus","mus sylvaticus bergensis"
"apodemus sylvaticus","apodemus sylvaticus butei"
"apodemus sylvaticus","micromys sylvaticus callipides"
"apodemus sylvaticus","mus sylvaticus candidus"
"apodemus sylvaticus","mus sylvaticus celticus"
"apodemus sylvaticus","apodemus sylvaticus creticus"
"apodemus sylvaticus","apodemus hebridensis cumbrae"
"apodemus sylvaticus","apodemus hebridensis fiolagan"
"apodemus sylvaticus","sylvaemus sylvaticus flaviventris"
"apodemus sylvaticus","mus sylvaticus flavobrunneus"
"apodemus sylvaticus","mus sylvaticus fridariensis"
"apodemus sylvaticus","apodemus hebridensis ghia"
"apodemus sylvaticus","apodemus sylvaticus grandiculus"
"apodemus sylvaticus","apodemus fridariensis grantii"
"apodemus sylvaticus","mus sylvaticus griseus"
"apodemus sylvaticus","apodemus hebridensis hamiltoni"
"apodemus sylvaticus","mus sylvaticus isabellinus"
"apodemus sylvaticus","apodemus hebridensis larus"
"apodemus sylvaticus","mus sylvaticus leucocephalus"
"apodemus sylvaticus","apodemus hebridensis maclean"
"apodemus sylvaticus","apodemus sylvaticus maximus"
"apodemus sylvaticus","apodemus hebridensis nesiticus"
"apodemus sylvaticus","mus sylvaticus niger"
"apodemus sylvaticus","mus sylvaticus parvus"
"apodemus sylvaticus","apodemus sylvaticus spadix"
"apodemus sylvaticus","apodemus fridariensis thuleo"
"apodemus sylvaticus","apodemus hebridensis tirae"
"apodemus sylvaticus","apodemus hebridensis tural"
"apodemus sylvaticus","mus sylvaticus varius"
"apodemus uralensis","apodemus uralensis"
"apodemus uralensis","mus major"
"apodemus uralensis","apodemus microtis"
"apodemus uralensis","mus tokmak"
"apodemus uralensis","sylvaemus sylvaticus baessleri"
"apodemus uralensis","sylvaemus sylvaticus ciscaucasicus"
"apodemus uralensis","mus sylvaticus mosquensis"
"apodemus uralensis","apodemus arianus pallidus"
"arctocephalus australis","arctocephalus australis"
"arctocephalus australis","arctocephalus australis australis"
"arctocephalus australis","arctocephalus australis gracilis"
"arctocephalus forsteri","arctocephalus forsteri"
"arctocephalus galapagoensis","arctocephalus galapagoensis"
"arctocephalus gazella","arctocephalus gazella"
"arctocephalus tropicalis","arctocephalus tropicalis"
"arctonyx collaris","arctonyx collaris"
"arctonyx collaris","arctonyx collaris collaris"
"arctonyx collaris","arctonyx collaris consul"
"arctonyx collaris","arctonyx collaris dictator"
"arctonyx collaris","arctonyx dictator"
"arctonyx collaris","arctonyx annaeus"
"arctonyx collaris","arctonyx collaris nemaeus"
"artibeus cinereus","artibeus cinereus"
"artibeus cinereus","dermanura cinerea"
"artibeus cinereus","dermanura cinereum"
"artibeus fimbriatus","artibeus fimbriatus"
"artibeus glaucus","artibeus glaucus"
"artibeus glaucus","dermanura glauca"
"artibeus jamaicensis","artibeus jamaicensis"
"artibeus lituratus","artibeus lituratus"
"artibeus obscurus","artibeus obscurus"
"artibeus obscurus","phyllostoma obscurum"
"artibeus phaeotis","artibeus phaeotis"
"artibeus planirostris","artibeus planirostris"
"artibeus toltecus","artibeus toltecus"
"arvicanthis neumanni","arvicanthis neumanni"
"arvicanthis neumanni","arvicanthis reptans"
"arvicanthis niloticus","arvicanthis niloticus"
"arvicanthis niloticus","arvicanthis niloticus"
"arvicanthis niloticus","mus discolor"
"arvicanthis niloticus","arvicanthis jebelae"
"arvicanthis niloticus","isomys testicularis"
"arvicanthis niloticus","hypudaeus variegatus"
"arvicanthis niloticus","arvicanthis abyssinicus centrosus"
"arvicanthis niloticus","isomys variegatus major"
"arvicanthis niloticus","isomys variegatus minor"
"arvicanthis niloticus","arvicanthis niloticus naso"
"arvicanthis niloticus","arvicanthis abyssinicus rubescens"
"arvicanthis niloticus","arvicanthis testicularis solatus"
"arvicola amphibius","arvicola amphibius"
"arvicola amphibius","arvicola terrestris"
"arvicola amphibius","arvicola americana"
"arvicola amphibius","lemmus aquaticus"
"arvicola amphibius","nesokia argyropus"
"arvicola amphibius","arvicola destructor"
"arvicola amphibius","arvicola musignani"
"arvicola amphibius","mus paludosus"
"arvicola amphibius","arvicola pertinax"
"arvicola amphibius","arvicola tanaitica"
"arvicola amphibius","mus terrestris"
"arvicola amphibius","arvicola terrestris abrukensis"
"arvicola amphibius","hypudaeus terrestris aquaticus"
"arvicola amphibius","microtus terrestris armenius"
"arvicola amphibius","hypudaeus terrestris ater"
"arvicola amphibius","microtus terrestris barabensis"
"arvicola amphibius","arvicola amphibius brigantium"
"arvicola amphibius","arvicola terrestris caucasicus"
"arvicola amphibius","arvicola terrestris cubanensis"
"arvicola amphibius","arvicola amphibius djukovi"
"arvicola amphibius","arvicola terrestris ferrugineus"
"arvicola amphibius","arvicola musignani fuliginosus"
"arvicola amphibius","arvicola terrestris hintoni"
"arvicola amphibius","microtus terrestris hyperryphaeus"
"arvicola amphibius","microtus musignani illyricus"
"arvicola amphibius","arvicola amphibius italicus"
"arvicola amphibius","arvicola terrestris jacutensis"
"arvicola amphibius","microtus terrestris karatshaicus"
"arvicola amphibius","arvicola terrestris korabensis"
"arvicola amphibius","arvicola amphibius kuruschi"
"arvicola amphibius","arvicola terrestris kuznetzovi"
"arvicola amphibius","hypudaeus terrestris littoralis"
"arvicola amphibius","arvicola amphibius meridionalis"
"arvicola amphibius","arvicola amphibius minor"
"arvicola amphibius","arvicola amphibius nigricans"
"arvicola amphibius","arvicola terrestris obensis"
"arvicola amphibius","arvicola terrestris ognevi"
"arvicola amphibius","arvicola amphibius persicus"
"arvicola amphibius","arvicola amphibius reta"
"arvicola amphibius","microtus terrestris rufescens"
"arvicola amphibius","arvicola terrestris scythicus"
"arvicola amphibius","arvicola terrestris tataricus"
"arvicola amphibius","arvicola terrestris turovi"
"arvicola amphibius","arvicola terrestris variabilis"
"arvicola amphibius","arvicola terrestris volgensis"
"arvicola scherman","arvicola scherman"
"arvicola scherman","arvicola argentoratensis"
"arvicola scherman","arvicola monticola"
"arvicola scherman","spalax minor"
"arvicola scherman","mus schermaus"
"arvicola scherman","mus amphibius albus"
"arvicola scherman","lemmus arvalis buffonii"
"arvicola scherman","mus amphibius canus"
"arvicola scherman","arvicola terrestris castaneus"
"arvicola scherman","arvicola scherman exitus"
"arvicola scherman","arvicola terrestris niger"
"aselliscus stoliczkanus","aselliscus stoliczkanus"
"aselliscus stoliczkanus","asellia stoliczkana"
"atelerix albiventris","atelerix albiventris"
"ateles belzebuth","ateles belzebuth"
"ateles belzebuth","ateles bartlettii"
"ateles belzebuth","ateles braccatus"
"ateles belzebuth","cebus brissonii"
"ateles belzebuth","ateles chuva"
"ateles belzebuth","ateles fuliginosus"
"ateles belzebuth","ateles variegatus"
"ateles chamek","ateles chamek"
"ateles chamek","ateles longimembris"
"ateles chamek","ateles ater peruvianus"
"ateles chamek","simia chamek"
"ateles fusciceps","ateles fusciceps"
"ateles geoffroyi","ateles geoffroyi"
"ateles hybridus","ateles hybridus"
"ateles hybridus","ateles albifrons"
"ateles hybridus","ameranthropoides loysi"
"ateles hybridus","ateles hybridus hybridus"
"ateles hybridus","ateles hybridus brunneus"
"ateles paniscus","ateles paniscus"
"ateles paniscus","ateles ater"
"ateles paniscus","ateles pentadactylus"
"ateles paniscus","ateles subpentadactylus"
"ateles paniscus","cebus paniscus cayennensis"
"ateles paniscus","cebus paniscus surinamensis"
"atherurus africanus","atherurus africanus"
"atherurus macrourus","atherurus macrourus"
"atilax paludinosus","atilax paludinosus"
"avahi laniger","avahi laniger"
"avahi laniger","habrocebus lanatus"
"avahi laniger","indris longicaudatus"
"avahi laniger","avahis laniger orientalis"
"axis axis","axis axis"
"axis porcinus","axis porcinus"
"babyrousa babyrussa","babyrousa babyrussa"
"baiomys musculus","baiomys musculus"
"baiomys musculus","peromyscus musculus brunneus"
"baiomys musculus","baiomys musculus grisescens"
"baiomys musculus","baiomys musculus handleyi"
"baiomys musculus","baiomys musculus infernatis"
"baiomys musculus","baiomys musculus nebulosus"
"baiomys musculus","peromyscus musculus nigrescens"
"baiomys musculus","baiomys musculus pallidus"
"baiomys musculus","baiomys musculus pullus"
"baiomys taylori","baiomys taylori"
"baiomys taylori","peromyscus allex"
"baiomys taylori","peromyscus paulus"
"baiomys taylori","peromyscus taylori analogus"
"baiomys taylori","baiomys taylori ater"
"baiomys taylori","baiomys taylori canutus"
"baiomys taylori","baiomys taylori fuliginatus"
"baiomys taylori","peromyscus taylori subater"
"balaena mysticetus","balaena mysticetus"
"balaenoptera acutorostrata","balaenoptera acutorostrata"
"balaenoptera acutorostrata","balaena minima"
"balaenoptera acutorostrata","balaenoptera rostrata"
"balaenoptera acutorostrata","balaena rostrata"
"balaenoptera borealis","balaenoptera borealis"
"balaenoptera physalus","balaenoptera physalus"
"balaenoptera physalus","balaena physalus"
"balionycteris maculata","balionycteris maculata"
"balionycteris maculata","cynopterus maculatus"
"balionycteris maculata","balionycteris maculata maculata"
"bandicota bengalensis","bandicota bengalensis"
"bandicota bengalensis","mus barclayanus"
"bandicota bengalensis","mus blythianus"
"bandicota bengalensis","mus daccaensis"
"bandicota bengalensis","mus dubius"
"bandicota bengalensis","nesokia gracilis"
"bandicota bengalensis","mus kok"
"bandicota bengalensis","gunomys lordi"
"bandicota bengalensis","mus morungensis"
"bandicota bengalensis","mus plurimammis"
"bandicota bengalensis","mus providens"
"bandicota bengalensis","gunomys sindicus"
"bandicota bengalensis","mus tarayensis"
"bandicota bengalensis","gunomys varillus"
"bandicota bengalensis","gunomys varius"
"bandicota bengalensis","gunomys wardi"
"bandicota bengalensis","gunomys kok insularis"
