"","Host","Synonym"
"1","alticola argentatus","alticola argentatus"
"2","alticola argentatus","microtus argurus"
"3","alticola argentatus","arvicola blanfordi"
"4","alticola argentatus","alticola gracilis"
"5","alticola argentatus","alticola longicauda"
"6","alticola argentatus","alticola phasma"
"7","alticola argentatus","arvicola severtzovi"
"8","alticola argentatus","alticola villosa"
"9","alticola argentatus","alticola worthingtoni"
"10","alticola argentatus","alticola blanfordi lahulius"
"11","alticola argentatus","alticola argentata rosanovi"
"12","alticola argentatus","alticola argentata shnitnikovi"
"13","alticola argentatus","alticola worthingtoni subluteus"
