"","Host","Synonym"
"1","apodemus agrarius","apodemus agrarius"
"2","apodemus agrarius","mus harti"
"3","apodemus agrarius","mus ningpoensis"
"4","apodemus agrarius","mus rubens"
"5","apodemus agrarius","mus agrarius albostriatus"
"6","apodemus agrarius","apodemus agrarius caucasicus"
"7","apodemus agrarius","apodemus agrarius coreae"
"8","apodemus agrarius","apodemus agrarius gloveri"
"9","apodemus agrarius","apodemus agrarius insulaemus"
"10","apodemus agrarius","mus agrarius maculatus"
"11","apodemus agrarius","mus agrarius mantchuricus"
"12","apodemus agrarius","apodemus agrarius nikolskii"
"13","apodemus agrarius","apodemus agrarius ognevi"
"14","apodemus agrarius","apodemus agrarius pallidior"
"15","apodemus agrarius","apodemus agrarius septentrionalis"
"16","apodemus agrarius","apodemus agrarius tianschanicus"
"17","apodemus agrarius","apodemus agrarius volgensis"
