"","Host","Synonym"
"1","apodemus flavicollis","apodemus flavicollis"
"2","apodemus flavicollis","apodemus arianus"
"3","apodemus flavicollis","mus arianus"
"4","apodemus flavicollis","mus cellarius"
"5","apodemus flavicollis","mus erythronotus"
"6","apodemus flavicollis","apodemus flavicollis brauneri"
"7","apodemus flavicollis","mus sylvaticus fennicus"
"8","apodemus flavicollis","mus sylvaticus princeps"
"9","apodemus flavicollis","apodemus flavicollis samariensis"
"10","apodemus flavicollis","apodemus flavicollis saturatus"
"11","apodemus flavicollis","sylvaemus sylvaticus stankovici"
"12","apodemus flavicollis","mus sylvaticus typicus"
"13","apodemus flavicollis","mus sylvaticus wintoni"
