"","Host","Synonym"
"1","apodemus sylvaticus","apodemus sylvaticus"
"2","apodemus sylvaticus","mus algirus"
"3","apodemus sylvaticus","mus chamaeropsis"
"4","apodemus sylvaticus","musculus dichrurus"
"5","apodemus sylvaticus","mus hayi"
"6","apodemus sylvaticus","mus hebridensis"
"7","apodemus sylvaticus","mus hirtensis"
"8","apodemus sylvaticus","mus intermedius"
"9","apodemus sylvaticus","mus islandicus"
"10","apodemus sylvaticus","mus pecchioli"
"11","apodemus sylvaticus","mus reboudia"
"12","apodemus sylvaticus","mus sylvaticus albus"
"13","apodemus sylvaticus","mus sylvaticus alpinus"
"14","apodemus sylvaticus","mus sylvaticus bergensis"
"15","apodemus sylvaticus","apodemus sylvaticus butei"
"16","apodemus sylvaticus","micromys sylvaticus callipides"
"17","apodemus sylvaticus","mus sylvaticus candidus"
"18","apodemus sylvaticus","mus sylvaticus celticus"
"19","apodemus sylvaticus","apodemus sylvaticus creticus"
"20","apodemus sylvaticus","apodemus hebridensis cumbrae"
"21","apodemus sylvaticus","apodemus hebridensis fiolagan"
"22","apodemus sylvaticus","sylvaemus sylvaticus flaviventris"
"23","apodemus sylvaticus","mus sylvaticus flavobrunneus"
"24","apodemus sylvaticus","mus sylvaticus fridariensis"
"25","apodemus sylvaticus","apodemus hebridensis ghia"
"26","apodemus sylvaticus","apodemus sylvaticus grandiculus"
"27","apodemus sylvaticus","apodemus fridariensis grantii"
"28","apodemus sylvaticus","mus sylvaticus griseus"
"29","apodemus sylvaticus","apodemus hebridensis hamiltoni"
"30","apodemus sylvaticus","mus sylvaticus isabellinus"
"31","apodemus sylvaticus","apodemus hebridensis larus"
"32","apodemus sylvaticus","mus sylvaticus leucocephalus"
"33","apodemus sylvaticus","apodemus hebridensis maclean"
"34","apodemus sylvaticus","apodemus sylvaticus maximus"
"35","apodemus sylvaticus","apodemus hebridensis nesiticus"
"36","apodemus sylvaticus","mus sylvaticus niger"
"37","apodemus sylvaticus","mus sylvaticus parvus"
"38","apodemus sylvaticus","apodemus sylvaticus spadix"
"39","apodemus sylvaticus","apodemus fridariensis thuleo"
"40","apodemus sylvaticus","apodemus hebridensis tirae"
"41","apodemus sylvaticus","apodemus hebridensis tural"
"42","apodemus sylvaticus","mus sylvaticus varius"
