"","Host","Synonym"
"1","arvicanthis niloticus","arvicanthis niloticus"
"2","arvicanthis niloticus","arvicanthis niloticus"
"3","arvicanthis niloticus","mus discolor"
"4","arvicanthis niloticus","arvicanthis jebelae"
"5","arvicanthis niloticus","isomys testicularis"
"6","arvicanthis niloticus","hypudaeus variegatus"
"7","arvicanthis niloticus","arvicanthis abyssinicus centrosus"
"8","arvicanthis niloticus","isomys variegatus major"
"9","arvicanthis niloticus","isomys variegatus minor"
"10","arvicanthis niloticus","arvicanthis niloticus naso"
"11","arvicanthis niloticus","arvicanthis abyssinicus rubescens"
"12","arvicanthis niloticus","arvicanthis testicularis solatus"
