"","Host","Synonym"
"1","arvicola amphibius","arvicola amphibius"
"2","arvicola amphibius","arvicola terrestris"
"3","arvicola amphibius","arvicola americana"
"4","arvicola amphibius","lemmus aquaticus"
"5","arvicola amphibius","nesokia argyropus"
"6","arvicola amphibius","arvicola destructor"
"7","arvicola amphibius","arvicola musignani"
"8","arvicola amphibius","mus paludosus"
"9","arvicola amphibius","arvicola pertinax"
"10","arvicola amphibius","arvicola tanaitica"
"11","arvicola amphibius","mus terrestris"
"12","arvicola amphibius","arvicola terrestris abrukensis"
"13","arvicola amphibius","hypudaeus terrestris aquaticus"
"14","arvicola amphibius","microtus terrestris armenius"
"15","arvicola amphibius","hypudaeus terrestris ater"
"16","arvicola amphibius","microtus terrestris barabensis"
"17","arvicola amphibius","arvicola amphibius brigantium"
"18","arvicola amphibius","arvicola terrestris caucasicus"
"19","arvicola amphibius","arvicola terrestris cubanensis"
"20","arvicola amphibius","arvicola amphibius djukovi"
"21","arvicola amphibius","arvicola terrestris ferrugineus"
"22","arvicola amphibius","arvicola musignani fuliginosus"
"23","arvicola amphibius","arvicola terrestris hintoni"
"24","arvicola amphibius","microtus terrestris hyperryphaeus"
"25","arvicola amphibius","microtus musignani illyricus"
"26","arvicola amphibius","arvicola amphibius italicus"
"27","arvicola amphibius","arvicola terrestris jacutensis"
"28","arvicola amphibius","microtus terrestris karatshaicus"
"29","arvicola amphibius","arvicola terrestris korabensis"
"30","arvicola amphibius","arvicola amphibius kuruschi"
"31","arvicola amphibius","arvicola terrestris kuznetzovi"
"32","arvicola amphibius","hypudaeus terrestris littoralis"
"33","arvicola amphibius","arvicola amphibius meridionalis"
"34","arvicola amphibius","arvicola amphibius minor"
"35","arvicola amphibius","arvicola amphibius nigricans"
"36","arvicola amphibius","arvicola terrestris obensis"
"37","arvicola amphibius","arvicola terrestris ognevi"
"38","arvicola amphibius","arvicola amphibius persicus"
"39","arvicola amphibius","arvicola amphibius reta"
"40","arvicola amphibius","microtus terrestris rufescens"
"41","arvicola amphibius","arvicola terrestris scythicus"
"42","arvicola amphibius","arvicola terrestris tataricus"
"43","arvicola amphibius","arvicola terrestris turovi"
"44","arvicola amphibius","arvicola terrestris variabilis"
"45","arvicola amphibius","arvicola terrestris volgensis"
