"","Host","Synonym"
"1","bandicota bengalensis","bandicota bengalensis"
"2","bandicota bengalensis","mus barclayanus"
"3","bandicota bengalensis","mus blythianus"
"4","bandicota bengalensis","mus daccaensis"
"5","bandicota bengalensis","mus dubius"
"6","bandicota bengalensis","nesokia gracilis"
"7","bandicota bengalensis","mus kok"
"8","bandicota bengalensis","gunomys lordi"
"9","bandicota bengalensis","mus morungensis"
"10","bandicota bengalensis","mus plurimammis"
"11","bandicota bengalensis","mus providens"
"12","bandicota bengalensis","gunomys sindicus"
"13","bandicota bengalensis","mus tarayensis"
"14","bandicota bengalensis","gunomys varillus"
"15","bandicota bengalensis","gunomys varius"
"16","bandicota bengalensis","gunomys wardi"
"17","bandicota bengalensis","gunomys kok insularis"
