"","Host","Synonym"
"1","bandicota indica","bandicota indica"
"2","bandicota indica","mus bandicota"
"3","bandicota indica","mus elliotanus"
"4","bandicota indica","rattus eloquens"
"5","bandicota indica","mus giganteus"
"6","bandicota indica","bandicota jabouillei"
"7","bandicota indica","mus macropus"
"8","bandicota indica","mus malabarica"
"9","bandicota indica","bandicota mordax"
"10","bandicota indica","mus nemorivagus"
"11","bandicota indica","mus perchal"
"12","bandicota indica","mus setifer"
"13","bandicota indica","bandicota siamensis"
"14","bandicota indica","nesokia nemorivaga taiwanus"
