"","Host","Synonym"
"1","castor canadensis","castor canadensis"
"2","castor canadensis","castor caecator"
"3","castor canadensis","castor canadensis phaeus"
"4","castor canadensis","castor canadensis acadicus"
"5","castor canadensis","castor canadensis baileyi"
"6","castor canadensis","castor canadensis belugae"
"7","castor canadensis","castor canadensis caecator"
"8","castor canadensis","castor canadensis canadensis"
"9","castor canadensis","castor canadensis carolinensis"
"10","castor canadensis","castor canadensis concisor"
"11","castor canadensis","castor canadensis duchesnei"
"12","castor canadensis","castor canadensis frondator"
"13","castor canadensis","castor canadensis idoneus"
"14","castor canadensis","castor canadensis labradorensis"
"15","castor canadensis","castor canadensis leucodontus"
"16","castor canadensis","castor canadensis mexicanus"
"17","castor canadensis","castor canadensis michiganensis"
"18","castor canadensis","castor canadensis missouriensis"
"19","castor canadensis","castor canadensis pallidus"
"20","castor canadensis","castor canadensis repentinus"
"21","castor canadensis","castor canadensis rostralis"
"22","castor canadensis","castor canadensis sagittatus"
"23","castor canadensis","castor subauratus shastensis"
"24","castor canadensis","castor subauratus subauratus"
"25","castor canadensis","castor canadensis taylori"
"26","castor canadensis","castor canadensis texensis"
