"","Host","Synonym"
"1","chlorocebus aethiops","chlorocebus aethiops"
"2","chlorocebus aethiops","cercopithecus calliaudi"
"3","chlorocebus aethiops","cercopithecus cano-viridis"
"4","chlorocebus aethiops","cercopithecus cinereo-viridis"
"5","chlorocebus aethiops","simia engytithia"
"6","chlorocebus aethiops","cercopithecus griseo-viridis"
"7","chlorocebus aethiops","cercopithecus griseus"
"8","chlorocebus aethiops","cercopithecus matschiei"
"9","chlorocebus aethiops","simia subviridis"
"10","chlorocebus aethiops","cercopithecus toldti"
"11","chlorocebus aethiops","lasiopyga weidholzi"
"12","chlorocebus aethiops","cercopithecus canoviridis"
"13","chlorocebus aethiops","cercopithecus cinereoviridis"
"14","chlorocebus aethiops","cercopithecus griseoviridis"
