"","Host","Synonym"
"1","choloepus didactylus","choloepus didactylus"
"2","choloepus didactylus","choloepus hoffmanni florenciae"
"3","choloepus didactylus","bradypus didactylus"
"4","choloepus didactylus","bradypus unau"
"5","choloepus didactylus","bradypus kouri"
"6","choloepus didactylus","bradypus curi"
"7","choloepus didactylus","choloepus guianensis"
"8","choloepus didactylus","choloepus brasiliensis"
"9","choloepus didactylus","choloepus didaetylus"
"10","choloepus didactylus","choloepus florenciae"
"11","choloepus didactylus","choloepus napensis"
"12","choloepus didactylus","choloepus didactylus columbianus"
