"","Host","Synonym"
"1","cricetulus migratorius","cricetulus migratorius"
"2","cricetulus migratorius","mus accedula"
"3","cricetulus migratorius","mus arenarius"
"4","cricetulus migratorius","cricetulus atticus"
"5","cricetulus migratorius","hypudaeus cinerascens"
"6","cricetulus migratorius","arvicola coerulescens"
"7","cricetulus migratorius","cricetulus falzfeini"
"8","cricetulus migratorius","cricetulus fulvus"
"9","cricetulus migratorius","cricetus isabellinus"
"10","cricetulus migratorius","cricetulus murinus"
"11","cricetulus migratorius","mus phaeus"
"12","cricetulus migratorius","cricetulus arenarius bellicosus"
"13","cricetulus migratorius","cricetulus migratorius caesius"
"14","cricetulus migratorius","cricetulus migratorius cinereus"
"15","cricetulus migratorius","cricetulus migratorius griseiventris"
"16","cricetulus migratorius","cricetulus migratorius griseus"
"17","cricetulus migratorius","cricetulus phaeus neglectus"
"18","cricetulus migratorius","cricetulus fulvus pamirensis"
"19","cricetulus migratorius","cricetulus migratorius pulcher"
"20","cricetulus migratorius","cricetulus migratorius vernula"
"21","cricetulus migratorius","cricetulus migratorius zvierezombi"
