"","Host","Synonym"
"1","cricetus cricetus","cricetus cricetus"
"2","cricetus cricetus","cricetus frumentarius"
"3","cricetus cricetus","heliomys jeudii"
"4","cricetus cricetus","cricetus nehringi"
"5","cricetus cricetus","hamster nigricans"
"6","cricetus cricetus","cricetus polychroma"
"7","cricetus cricetus","cricetus vulgaris"
"8","cricetus cricetus","cricetus vulgaris albus"
"9","cricetus cricetus","cricetus vulgaris babylonicus"
"10","cricetus cricetus","cricetus vulgaris canescens"
"11","cricetus cricetus","mus cricetus fulvus"
"12","cricetus cricetus","cricetus cricetus fuscidorsis"
"13","cricetus cricetus","mus cricetus germanicus"
"14","cricetus cricetus","cricetus cricetus latycranius"
"15","cricetus cricetus","cricetus vulgaris niger"
"16","cricetus cricetus","cricetus vulgaris niger"
"17","cricetus cricetus","cricetus vulgaris rufescens"
"18","cricetus cricetus","cricetus vulgaris stavropolicus"
"19","cricetus cricetus","cricetus cricetus tauricus"
"20","cricetus cricetus","cricetus cricetus tomensis"
"21","cricetus cricetus","cricetus vulgaris varius"
