"","Host","Synonym"
"1","dipus sagitta","dipus sagitta"
"2","dipus sagitta","dipus deasyi"
"3","dipus sagitta","dipus halli"
"4","dipus sagitta","dipus lagopus"
"5","dipus sagitta","dipus nogai"
"6","dipus sagitta","dipus sowerbyi"
"7","dipus sagitta","dipodipus sagitta innae"
"8","dipus sagitta","dipus sagitta zaissanensis"
"9","dipus sagitta","dipus sagitta ubsanensis"
"10","dipus sagitta","dipus sagitta aksuensis"
"11","dipus sagitta","dipus sagitta fuscocanus"
"12","dipus sagitta","dipus sagitta austrouralensis"
"13","dipus sagitta","dipus sagitta turanicus"
"14","dipus sagitta","dipus sagitta megacranius"
"15","dipus sagitta","dipus sagitta usuni"
"16","dipus sagitta","dipus sagitta bulganensis"
