"","Host","Synonym"
"1","dryomys nitedula","dryomys nitedula"
"2","dryomys nitedula","eliomys angelus"
"3","dryomys nitedula","myoxus dryas"
"4","dryomys nitedula","myoxus intermedius"
"5","dryomys nitedula","dyromys milleri"
"6","dryomys nitedula","myoxus pictus"
"7","dryomys nitedula","dyromys robustus"
"8","dryomys nitedula","myoxus wingei"
"9","dryomys nitedula","dyromys nitedula phrygius"
"10","dryomys nitedula","dyromys nitedula tichomirowi"
"11","dryomys nitedula","dyromys nitedula obolenskii"
"12","dryomys nitedula","dyromys nitedula carpathicus"
"13","dryomys nitedula","dyromys nitedula bilkjewiczi"
"14","dryomys nitedula","dyromys nitedula ognevi"
"15","dryomys nitedula","dyromys nitedula daghestanicus"
"16","dryomys nitedula","dyromys nitedula tanaiticus"
"17","dryomys nitedula","dyromys nitedula caucasicus"
"18","dryomys nitedula","dyromys nitedula kurdistanicus"
"19","dryomys nitedula","dyromys nitedula pallidus"
"20","dryomys nitedula","dyromys nitedula saxatilis"
"21","dryomys nitedula","dryomys nitedula ravijojla"
