"","Host","Synonym"
"1","eliomys quercinus","eliomys quercinus"
"2","eliomys quercinus","eliomys cincticauda"
"3","eliomys quercinus","eliomys gymnesicus"
"4","eliomys quercinus","eliomys hamiltoni"
"5","eliomys quercinus","eliomys hortualis"
"6","eliomys quercinus","myoxus nitela"
"7","eliomys quercinus","eliomys ophiusae"
"8","eliomys quercinus","eliomys pallidus"
"9","eliomys quercinus","eliomys sardus"
"10","eliomys quercinus","eliomys quercinus räticus"
"11","eliomys quercinus","eliomys quercinus gotthardus"
"12","eliomys quercinus","eliomys quercinus jurrasicus"
"13","eliomys quercinus","eliomys nitela lusitanica"
"14","eliomys quercinus","myoxus nitela amori"
"15","eliomys quercinus","eliomys quercinus superans"
