"","Host","Synonym"
"1","erythrocebus patas","erythrocebus patas"
"2","erythrocebus patas","cercopithecus circumcinctus"
"3","erythrocebus patas","cercopithecus kerstingi"
"4","erythrocebus patas","erythrocebus langheldi"
"5","erythrocebus patas","simia rubra"
"6","erythrocebus patas","simia rufa"
"7","erythrocebus patas","erythrocebus whitei"
"8","erythrocebus patas","erythrocebus zechi"
"9","erythrocebus patas","cercopithecus patas sannio"
"10","erythrocebus patas","simia ruber albo-fasciatus"
"11","erythrocebus patas","cercopithecus patas albosignatus"
"12","erythrocebus patas","simia ruber nigro-fasciatus"
"13","erythrocebus patas","cercopithecus patas poliomystax"
"14","erythrocebus patas","simia ruber nigrofasciatus"
"15","erythrocebus patas","simia ruber albofasciatus"
