"","Host","Synonym"
"1","gerbilliscus leucogaster","gerbilliscus leucogaster"
"2","gerbilliscus leucogaster","tatera leucogaster"
"3","gerbilliscus leucogaster","gerbillus lobengulae"
"4","gerbilliscus leucogaster","tatera panja"
"5","gerbilliscus leucogaster","tatera lobengulae bechuanae"
"6","gerbilliscus leucogaster","tatera lobengulae beirensis"
"7","gerbilliscus leucogaster","tatera lobengulae limpopoensis"
"8","gerbilliscus leucogaster","tatera lobengulae littoralis"
"9","gerbilliscus leucogaster","tatera lobengulae mashonae"
"10","gerbilliscus leucogaster","tatera lobengulae mitchelli"
"11","gerbilliscus leucogaster","tatera lobengulae pestis"
"12","gerbilliscus leucogaster","tatera lobengulae pretoriae"
"13","gerbilliscus leucogaster","tatera miliaria salsa"
"14","gerbilliscus leucogaster","tatera miliaria stellae"
"15","gerbilliscus leucogaster","tatera lobengulae tzaneenensis"
"16","gerbilliscus leucogaster","tatera schinzi waterbergensis"
"17","gerbilliscus leucogaster","tatera lobengulae zuluensis"
