"","Host","Synonym"
"1","glis glis","glis glis"
"2","glis glis","myoxus glis"
"3","glis glis","myoxus avellanus"
"4","glis glis","glis esculentus"
"5","glis glis","myoxus giglis"
"6","glis glis","glis insularis"
"7","glis glis","glis italicus"
"8","glis glis","glis melonii"
"9","glis glis","sciurus persicus"
"10","glis glis","glis vulgaris"
"11","glis glis","sciurus glis"
"12","glis glis","glis glis subalpinus"
"13","glis glis","glis glis postus"
"14","glis glis","myoxus glis orientalis"
"15","glis glis","myoxus glis caspius"
"16","glis glis","glis glis spoliatus"
"17","glis glis","glis glis pyrenaicus"
"18","glis glis","glis italicus intermedius"
"19","glis glis","glis glis tschetshenicus"
"20","glis glis","glis glis abruttii"
"21","glis glis","glis glis minutus"
"22","glis glis","glis glis petruccii"
