"","Host","Synonym"
"1","golunda ellioti","golunda ellioti"
"2","golunda ellioti","golunda coffaeus"
"3","golunda ellioti","mus hirsutus"
"4","golunda ellioti","mus myothrix"
"5","golunda ellioti","mus newara"
"6","golunda ellioti","pelomys watsoni"
"7","golunda ellioti","golunda ellioti bombax"
"8","golunda ellioti","golunda ellioti coenosa"
"9","golunda ellioti","golunda ellioti coraginis"
"10","golunda ellioti","golunda ellioti gujerati"
"11","golunda ellioti","golunda ellioti limitaris"
"12","golunda ellioti","golunda ellioti paupera"
