"","Host","Synonym"
"1","homo sapiens","homo sapiens"
"2","homo sapiens","homo aethiopicus"
"3","homo sapiens","homo americanus"
"4","homo sapiens","homo arabicus"
"5","homo sapiens","homo australasicus"
"6","homo sapiens","homo cafer"
"7","homo sapiens","homo capensis"
"8","homo sapiens","homo columbicus"
"9","homo sapiens","homo drennani"
"10","homo sapiens","homo grimaldii"
"11","homo sapiens","homo hottentotus"
"12","homo sapiens","homo hyperboreus"
"13","homo sapiens","homo indicus"
"14","homo sapiens","homo japeticus"
"15","homo sapiens","homo melaninus"
"16","homo sapiens","homo monstrosus"
"17","homo sapiens","homo neptunianus"
"18","homo sapiens","homo palestinus"
"19","homo sapiens","homo patagonus"
"20","homo sapiens","homo priscus"
"21","homo sapiens","homo scythicus"
"22","homo sapiens","homo sinicus"
"23","homo sapiens","homo spelaeus"
"24","homo sapiens","homo troglodytes"
"25","homo sapiens","homo wadjakensis"
"26","homo sapiens","homo sapiens cro-magnonensis"
"27","homo sapiens","homo sapiens grimaldiensis"
"28","homo sapiens","homo fossilis proto-aethiopicus"
"29","homo sapiens","homo fossilis protoaethiopicus"
"30","homo sapiens","homo sapiens cromagnonensis"
