"","Host","Synonym"
"1","hydromys chrysogaster","hydromys chrysogaster"
"2","hydromys chrysogaster","hydromys beccarii"
"3","hydromys chrysogaster","hydromys esox"
"4","hydromys chrysogaster","hydromys fuliginosus"
"5","hydromys chrysogaster","hydromys fulvogaster"
"6","hydromys chrysogaster","hydromys fulvolavatus"
"7","hydromys chrysogaster","hydromys fulvoventer"
"8","hydromys chrysogaster","hydromys grootensis"
"9","hydromys chrysogaster","hydromys lawnensis"
"10","hydromys chrysogaster","hydromys leucogaster"
"11","hydromys chrysogaster","hydromys longmani"
"12","hydromys chrysogaster","hydromys melicertes"
"13","hydromys chrysogaster","hydromys moae"
"14","hydromys chrysogaster","hydromys nauticus"
"15","hydromys chrysogaster","hydromys oriens"
"16","hydromys chrysogaster","hydromys chrysogaster reginae"
"17","hydromys chrysogaster","hydromys chrysogaster caurinus"
"18","hydromys chrysogaster","hydromys esox illuteus"
