"","Host","Synonym"
"1","jaculus jaculus","jaculus jaculus"
"2","jaculus jaculus","dipus aegyptius"
"3","jaculus jaculus","dipus darricarrerei"
"4","jaculus jaculus","dipus deserti"
"5","jaculus jaculus","jaculus florentiae"
"6","jaculus jaculus","dipus hirtipes"
"7","jaculus jaculus","dipus loftusi"
"8","jaculus jaculus","dipus macromystax"
"9","jaculus jaculus","dipus macrotarsus"
"10","jaculus jaculus","dipus schlueteri"
"11","jaculus jaculus","jaculus jaculus sefrius"
"12","jaculus jaculus","jaculus loftusi vocator"
"13","jaculus jaculus","jaculus jaculus syrius"
"14","jaculus jaculus","jaculus florentiae oralis"
"15","jaculus jaculus","jaculus jaculus centralis"
"16","jaculus jaculus","jaculus jaculus airensis"
"17","jaculus jaculus","jaculus jaculus favonicus"
"18","jaculus jaculus","jaculus deserti favillus"
"19","jaculus jaculus","jaculus deserti fuscipes"
"20","jaculus jaculus","jaculus deserti rarus"
"21","jaculus jaculus","jaculus deserti vastus"
"22","jaculus jaculus","jaculus jaculus arenaceous"
"23","jaculus jaculus","jaculus jaculus collinsi"
"24","jaculus jaculus","jaculus jaculus cufrensis"
"25","jaculus jaculus","jaculus jaculus tripolitanicus"
"26","jaculus jaculus","jaculus jaculus whitchurchi"
