"","Host","Synonym"
"1","laephotis capensis","laephotis capensis"
"2","laephotis capensis","eptesicus capensis"
"3","laephotis capensis","eptesicus melckorum"
"4","laephotis capensis","neoromicia capensis"
"5","laephotis capensis","neoromicia melckorum"
"6","laephotis capensis","vesperus damarensis"
"7","laephotis capensis","eptesicus garambae"
"8","laephotis capensis","scabrifer notius"
"9","laephotis capensis","vespertilio capensis"
"10","laephotis capensis","neoromicia capensis capensis"
"11","laephotis capensis","neoromicia capensis damarensis"
"12","laephotis capensis","neoromicia capensis garambae"
"13","laephotis capensis","neoromicia capensis gracilior"
"14","laephotis capensis","neoromicia capensis nkatiensis"
"15","laephotis capensis","neoromicia capensis notius"
"16","laephotis capensis","vespertilio capensis gracilior"
"17","laephotis capensis","eptesicus capensis nkatiensis"
