"","Host","Synonym"
"1","leopoldamys sabanus","leopoldamys sabanus"
"2","leopoldamys sabanus","mus balae"
"3","leopoldamys sabanus","mus fremens"
"4","leopoldamys sabanus","mus lucas"
"5","leopoldamys sabanus","epimys luta"
"6","leopoldamys sabanus","mus masae"
"7","leopoldamys sabanus","mus matthaeus"
"8","leopoldamys sabanus","epimys nasutus"
"9","leopoldamys sabanus","epimys stentor"
"10","leopoldamys sabanus","mus strepitans"
"11","leopoldamys sabanus","mus stridens"
"12","leopoldamys sabanus","mus stridulus"
"13","leopoldamys sabanus","epimys ululans"
"14","leopoldamys sabanus","mus vociferans"
"15","leopoldamys sabanus","rattus sabanus bunguranensis"
"16","leopoldamys sabanus","epimys vociferans clarae"
"17","leopoldamys sabanus","rattus sabanus dictatorius"
"18","leopoldamys sabanus","rattus sabanus heptneri"
"19","leopoldamys sabanus","epimys vociferans herberti"
"20","leopoldamys sabanus","epimys vociferans insularum"
"21","leopoldamys sabanus","mus vociferans lancavensis"
"22","leopoldamys sabanus","rattus fremens mansalaris"
"23","leopoldamys sabanus","rattus sabanus mayapahit"
"24","leopoldamys sabanus","rattus sabanus revertens"
"25","leopoldamys sabanus","rattus sabanus salanga"
"26","leopoldamys sabanus","rattus vociferans tapanulius"
"27","leopoldamys sabanus","mus vociferans tersus"
"28","leopoldamys sabanus","rattus fremens tuancus"
