"","Host","Synonym"
"1","macaca mulatta","macaca mulatta"
"2","macaca mulatta","simia erythraea"
"3","macaca mulatta","simia fulvus"
"4","macaca mulatta","macacus lasiotus"
"5","macaca mulatta","pithecus littoralis"
"6","macaca mulatta","macaca nipalensis"
"7","macaca mulatta","macaca oinops"
"8","macaca mulatta","simia rhesus"
"9","macaca mulatta","inuus sancti-johannis"
"10","macaca mulatta","macaca siamica"
"11","macaca mulatta","macacus tcheliensis"
"12","macaca mulatta","macacus vestitus"
"13","macaca mulatta","inuus sanctijohannis"
"14","macaca mulatta","macacus rhesus villosus"
"15","macaca mulatta","macaca mulatta mcmahoni"
