"","Host","Synonym"
"1","mandrillus sphinx","mandrillus sphinx"
"2","mandrillus sphinx","maimon burlacei"
"3","mandrillus sphinx","mandrillus escherichi"
"4","mandrillus sphinx","mandrillus hagenbecki"
"5","mandrillus sphinx","mandrillus insularis"
"6","mandrillus sphinx","simia latidens"
"7","mandrillus sphinx","simia madarogaster"
"8","mandrillus sphinx","simia maimon"
"9","mandrillus sphinx","simia mormon"
"10","mandrillus sphinx","simia pennanti"
"11","mandrillus sphinx","papio planirostris"
"12","mandrillus sphinx","mandrillus schreberi"
"13","mandrillus sphinx","simia suilla"
"14","mandrillus sphinx","mandrillus tessmanni"
"15","mandrillus sphinx","mandrillus zenkeri"
"16","mandrillus sphinx","mandrillus zenkeri ebolowae"
