"","Host","Synonym"
"1","mastomys natalensis","mastomys natalensis"
"2","mastomys natalensis","mastomys hildebrandtii"
"3","mastomys natalensis","myomys fumatus"
"4","mastomys natalensis","mus caffer"
"5","mastomys natalensis","mus fumatus"
"6","mastomys natalensis","mus fusca"
"7","mastomys natalensis","mus hildebrandtii"
"8","mastomys natalensis","mus illovoensis"
"9","mastomys natalensis","mystromys longicaudatus"
"10","mastomys natalensis","mus microdon"
"11","mastomys natalensis","mus muscardinus"
"12","mastomys natalensis","epimys panya"
"13","mastomys natalensis","mus tana"
"14","mastomys natalensis","mus ugandae"
"15","mastomys natalensis","epimys coucha durumae"
"16","mastomys natalensis","epimys concha ismailiae"
"17","mastomys natalensis","mastomys coucha komatiensis"
"18","mastomys natalensis","epimys coucha neumanni"
"19","mastomys natalensis","mastomys coucha ovamboensis"
"20","mastomys natalensis","rattus coucha tinctus"
"21","mastomys natalensis","mus coucha zuluensis"
