"","Host","Synonym"
"1","maxomys surifer","maxomys surifer"
"2","maxomys surifer","mus anambae"
"3","maxomys surifer","mus bentincanus"
"4","maxomys surifer","mus carimatae"
"5","maxomys surifer","mus casensis"
"6","maxomys surifer","mus catellifer"
"7","maxomys surifer","mus domelicus"
"8","maxomys surifer","mus luteolus"
"9","maxomys surifer","epimys perflavus"
"10","maxomys surifer","epimys ravus"
"11","maxomys surifer","epimys saturatus"
"12","maxomys surifer","mus serutus"
"13","maxomys surifer","epimys ubecus"
"14","maxomys surifer","mus umbridorsum"
"15","maxomys surifer","rattus lingensis antucus"
"16","maxomys surifer","epimys surifer aoris"
"17","maxomys surifer","rattus lingensis banacus"
"18","maxomys surifer","rattus rajah bandahara"
"19","maxomys surifer","mus surifer binominatus"
"20","maxomys surifer","mus surifer butangensis"
"21","maxomys surifer","epimys surifer changensis"
"22","maxomys surifer","epimys surifer connectens"
"23","maxomys surifer","epimys surifer eclipsis"
"24","maxomys surifer","epimys surifer finis"
"25","maxomys surifer","mus surifer flavidulus"
"26","maxomys surifer","mus surifer flavigrandis"
"27","maxomys surifer","mus surifer grandis"
"28","maxomys surifer","rattus rajah koratis"
"29","maxomys surifer","rattus rajah kramis"
"30","maxomys surifer","epimys surifer kutensis"
"31","maxomys surifer","mus surifer leonis"
"32","maxomys surifer","rattus lingensis mabalus"
"33","maxomys surifer","epimys surifer manicalis"
"34","maxomys surifer","mus surifer microdon"
"35","maxomys surifer","rattus surifer muntia"
"36","maxomys surifer","rattus surifer natunae"
"37","maxomys surifer","epimys surifer pelagius"
"38","maxomys surifer","epimys surifer pemangilis"
"39","maxomys surifer","rattus surifer pidonis"
"40","maxomys surifer","rattus lingensis pinacus"
"41","maxomys surifer","rattus surifer puket"
"42","maxomys surifer","rattus rajah siarma"
"43","maxomys surifer","rattus surifer solaris"
"44","maxomys surifer","epimys surifer spurcus"
"45","maxomys surifer","rattus surifer telibon"
"46","maxomys surifer","epimys surifer tenebrosus"
"47","maxomys surifer","rattus rajah verbeeki"
