"","Host","Synonym"
"1","maxomys whiteheadi","maxomys whiteheadi"
"2","maxomys whiteheadi","mus asper"
"3","maxomys whiteheadi","mus batamanus"
"4","maxomys whiteheadi","epimys batus"
"5","maxomys whiteheadi","rattus klossi"
"6","maxomys whiteheadi","mus mandus"
"7","maxomys whiteheadi","rattus melanurus"
"8","maxomys whiteheadi","rattus melinogaster"
"9","maxomys whiteheadi","rattus whiteheadi coritzae"
"10","maxomys whiteheadi","epimys whiteheadi perlutus"
"11","maxomys whiteheadi","rattus whiteheadi piratae"
"12","maxomys whiteheadi","rattus whiteheadi subitus"
