"","Host","Synonym"
"1","megaptera novaeangliae","megaptera novaeangliae"
"2","megaptera novaeangliae","megaptera nodosa"
"3","megaptera novaeangliae","megaptera braziliensis"
"4","megaptera novaeangliae","megaptera indica"
"5","megaptera novaeangliae","megaptera lalandii"
"6","megaptera novaeangliae","megaptera longimana"
"7","megaptera novaeangliae","megaptera longipinna"
"8","megaptera novaeangliae","megaptera osphya"
"9","megaptera novaeangliae","megaptera versabilis"
"10","megaptera novaeangliae","balaena nodosa"
"11","megaptera novaeangliae","balaena lalandii"
"12","megaptera novaeangliae","balaena longimana"
"13","megaptera novaeangliae","balaena novaeangliae"
"14","megaptera novaeangliae","megaptera novaeangliae novaeangliae"
"15","megaptera novaeangliae","megaptera novaeangliae australis"
"16","megaptera novaeangliae","megaptera novaeangliae kuzira"
