"","Host","Synonym"
"1","meriones libycus","meriones libycus"
"2","meriones libycus","gerbillus caucasicus"
"3","meriones libycus","meriones caucasius"
"4","meriones libycus","meriones collium"
"5","meriones libycus","gerbillus erythrourus"
"6","meriones libycus","gerbillus eversmanni"
"7","meriones libycus","meriones gaetulus"
"8","meriones libycus","gerbillus guyonii"
"9","meriones libycus","meriones iranensis"
"10","meriones libycus","meriones mariae"
"11","meriones libycus","meriones melanurus"
"12","meriones libycus","gerbillus renaultii"
"13","meriones libycus","gerbillus schousboeii"
"14","meriones libycus","meriones syrius"
"15","meriones libycus","gerbillus turfanensis"
"16","meriones libycus","meriones erythrourus aquilo"
"17","meriones libycus","meriones libycus caudatus"
"18","meriones libycus","meriones syrius edithae"
"19","meriones libycus","meriones syrius evelynae"
"20","meriones libycus","pallasiomys erythrourus marginae"
"21","meriones libycus","pallasiomys erythrourus maxeratis"
"22","meriones libycus","pallasiomys erythrourus oxianus"
"23","meriones libycus","pallasiomys erythrourus sogdianus"
"24","meriones libycus","meriones schousboei tuareg"
"25","meriones libycus","meriones libycus confalonierii"
