"","Host","Synonym"
"1","meriones meridianus","meriones meridianus"
"2","meriones meridianus","meriones auceps"
"3","meriones meridianus","gerbillus brevicaudatus"
"4","meriones meridianus","meriones buechneri"
"5","meriones meridianus","gerbillus cryptorhinus"
"6","meriones meridianus","meriones fulvus"
"7","meriones meridianus","gerbillus lepturus"
"8","meriones meridianus","gerbillus psammophilus"
"9","meriones meridianus","gerbillus roborowskii"
"10","meriones meridianus","gerbillus urianchaicus"
"11","meriones meridianus","pallasiomys meridianus heptneri"
"12","meriones meridianus","pallasiomys meridianus karelini"
"13","meriones meridianus","pallasiomys meridianus massagetes"
"14","meriones meridianus","gerbillus meridianus nogaiorum"
"15","meriones meridianus","pallasiomys meridianus penicilliger"
"16","meriones meridianus","pallasiomys meridianus shitkovi"
