"","Host","Synonym"
"1","micaelamys namaquensis","micaelamys namaquensis"
"2","micaelamys namaquensis","aethomys namaquensis"
"3","micaelamys namaquensis","mus arborarius"
"4","micaelamys namaquensis","mus auricomis"
"5","micaelamys namaquensis","mus avarillus"
"6","micaelamys namaquensis","mus lehocla"
"7","micaelamys namaquensis","aethomys namaquensis calarius"
"8","micaelamys namaquensis","praomys namaquensis capensis"
"9","micaelamys namaquensis","mus auricomis centralis"
"10","micaelamys namaquensis","praomys namaquensis drakensbergi"
"11","micaelamys namaquensis","praomys namaquensis klaverensis"
"12","micaelamys namaquensis","praomys namaquensis lechochloides"
"13","micaelamys namaquensis","mus namaquensis monticularis"
"14","micaelamys namaquensis","aethomys namaquensis namibensis"
"15","micaelamys namaquensis","aethomys namaquensis siccatus"
"16","micaelamys namaquensis","aethomys namaquensis waterbergensis"
