"","Host","Synonym"
"1","micromys minutus","micromys minutus"
"2","micromys minutus","micromys agilis"
"3","micromys minutus","mus arundinaceus"
"4","micromys minutus","mus arvensis"
"5","micromys minutus","mus avenarius"
"6","micromys minutus","mus campestris"
"7","micromys minutus","mus erythrotis"
"8","micromys minutus","mus meridionalis"
"9","micromys minutus","mus messorius"
"10","micromys minutus","mus minatus"
"11","micromys minutus","mus minimus"
"12","micromys minutus","mus oryzivorus"
"13","micromys minutus","mus parvulus"
"14","micromys minutus","mus pendulinus"
"15","micromys minutus","mus pratensis"
"16","micromys minutus","mus pumilus"
"17","micromys minutus","mus pygmaeus"
"18","micromys minutus","mus soricinus"
"19","micromys minutus","mus triticeus"
"20","micromys minutus","micromys minutus aokii"
"21","micromys minutus","mus minutus batarovi"
"22","micromys minutus","micromys minutus berezowskii"
"23","micromys minutus","micromys minutus brauneri"
"24","micromys minutus","mus minutus fenniae"
"25","micromys minutus","mus minutus flavus"
"26","micromys minutus","micromys minutus hondonis"
"27","micromys minutus","micromys minutus japonicus"
"28","micromys minutus","micromys minutus kytmanovi"
"29","micromys minutus","micromys minutus mehelyi"
"30","micromys minutus","mus minutus sareptae"
"31","micromys minutus","micromys minutus subobscurus"
"32","micromys minutus","micromys minutus takasagoensis"
"33","micromys minutus","mus minutus typicus"
"34","micromys minutus","mus minutus ussuricus"
