"","Host","Synonym"
"1","microtus agrestis","microtus agrestis"
"2","microtus agrestis","microtus arcturus"
"3","microtus agrestis","arvicola bailloni"
"4","microtus agrestis","arvicola britannicus"
"5","microtus agrestis","mus gregarius"
"6","microtus agrestis","arvicola hirta"
"7","microtus agrestis","lemmus insularis"
"8","microtus agrestis","arvicola intermedia"
"9","microtus agrestis","arvicola levernedii"
"10","microtus agrestis","microtus macgillivrayi"
"11","microtus agrestis","arvicola neglectus"
"12","microtus agrestis","arvicola rozianus"
"13","microtus agrestis","arvicola agrestis angustifrons"
"14","microtus agrestis","microtus agrestis argyropoli"
"15","microtus agrestis","microtus agrestis estiae"
"16","microtus agrestis","microtus agrestis exsul"
"17","microtus agrestis","microtus agrestis fiona"
"18","microtus agrestis","microtus agrestis insul"
"19","microtus agrestis","arvicola agrestis latifrons"
"20","microtus agrestis","microtus agrestis luch"
"21","microtus agrestis","microtus agrestis mial"
"22","microtus agrestis","microtus agrestis mongol"
"23","microtus agrestis","arvicola agrestis nigra"
"24","microtus agrestis","mus arvalis nigricans"
"25","microtus agrestis","microtus agrestis ognevi"
"26","microtus agrestis","microtus hirtus orioecus"
"27","microtus agrestis","microtus agrestis pannonicus"
"28","microtus agrestis","microtus agrestis punctus"
"29","microtus agrestis","arvicola agrestis rufa"
"30","microtus agrestis","microtus agrestis tridentinus"
"31","microtus agrestis","microtus agrestis wettsteini"
