"","Host","Synonym"
"1","microtus arvalis","microtus arvalis"
"2","microtus arvalis","microtus obscurus"
"3","microtus arvalis","arvicola arvensis"
"4","microtus arvalis","microtus angularis"
"5","microtus arvalis","microtus asturianus"
"6","microtus arvalis","microtus brevirostris"
"7","microtus arvalis","arvicola campestris"
"8","microtus arvalis","arvicola cunicularius"
"9","microtus arvalis","lemmus fulvus"
"10","microtus arvalis","microtus hyrcania"
"11","microtus arvalis","arvicola incertus"
"12","microtus arvalis","arvicola mystacinus"
"13","microtus arvalis","hypudaeus obscurus"
"14","microtus arvalis","microtus orcadensis"
"15","microtus arvalis","microtus sarnius"
"16","microtus arvalis","microtus terrestris"
"17","microtus arvalis","arvicola vulgaris"
"18","microtus arvalis","mus arvalis albus"
"19","microtus arvalis","arvicola arvalis assimilis"
"20","microtus arvalis","arvicola arvalis ater"
"21","microtus arvalis","microtus arvalis calypsus"
"22","microtus arvalis","microtus arvalis cimbricus"
"23","microtus arvalis","arvicola arvalis contigua"
"24","microtus arvalis","arvicola arvalis depressa"
"25","microtus arvalis","arvicola arvalis duplicatus"
"26","microtus arvalis","arvicola arvalis flava"
"27","microtus arvalis","arvicola arvalis fulva"
"28","microtus arvalis","arvicola arvalis galliardi"
"29","microtus arvalis","microtus arvalis gudauricus"
"30","microtus arvalis","microtus arvalis hawelkae"
"31","microtus arvalis","microtus arvalis incognitus"
"32","microtus arvalis","microtus arvalis iphigeniae"
"33","microtus arvalis","microtus arvalis khorkoutensis"
"34","microtus arvalis","microtus arvalis macrocranius"
"35","microtus arvalis","microtus arvalis meridianus"
"36","microtus arvalis","arvicola arvalis principalis"
"37","microtus arvalis","microtus orcadensis ronaldshaiensis"
"38","microtus arvalis","microtus orcadensis rousiensis"
"39","microtus arvalis","microtus orcadensis sandayensis"
"40","microtus arvalis","arvicola arvalis simplex"
"41","microtus arvalis","microtus arvalis transcaucasicus"
"42","microtus arvalis","microtus arvalis transuralensis"
"43","microtus arvalis","arvicola arvalis variabilis"
"44","microtus arvalis","microtus sandayensis westrae"
