"","Host","Synonym"
"1","microtus californicus","microtus californicus"
"2","microtus californicus","microtus californicus californicus"
"3","microtus californicus","microtus californicus scirpensis"
"4","microtus californicus","arvicola edax"
"5","microtus californicus","microtus scirpensis"
"6","microtus californicus","arvicola trowbridgii"
"7","microtus californicus","microtus californicus aequivocatus"
"8","microtus californicus","microtus californicus aestuarinus"
"9","microtus californicus","microtus californicus constrictus"
"10","microtus californicus","microtus californicus eximius"
"11","microtus californicus","microtus californicus grinnelli"
"12","microtus californicus","microtus californicus halophilus"
"13","microtus californicus","microtus californicus hyperuthrus"
"14","microtus californicus","microtus californicus kernensis"
"15","microtus californicus","microtus californicus mariposae"
"16","microtus californicus","microtus californicus mohavensis"
"17","microtus californicus","microtus californicus neglectus"
"18","microtus californicus","microtus californicus paludicola"
"19","microtus californicus","microtus californicus perplexabilis"
"20","microtus californicus","microtus californicus sanctidiegi"
"21","microtus californicus","microtus californicus sanpabloensis"
"22","microtus californicus","microtus californicus stephensi"
"23","microtus californicus","microtus californicus vallicola"
"24","microtus californicus","microtus californicus huperuthrus"
