"","Host","Synonym"
"1","microtus montanus","microtus montanus"
"2","microtus montanus","microtus dutcheri"
"3","microtus montanus","arvicola longirostris"
"4","microtus montanus","arvicola nanus"
"5","microtus montanus","microtus nevadensis"
"6","microtus montanus","microtus montanus amosus"
"7","microtus montanus","microtus montanus arizonensis"
"8","microtus montanus","microtus nanus canescens"
"9","microtus montanus","microtus montanus caryi"
"10","microtus montanus","microtus montanus codiensis"
"11","microtus montanus","microtus montanus fucosus"
"12","microtus montanus","microtus montanus fusus"
"13","microtus montanus","microtus montanus micropus"
"14","microtus montanus","microtus montanus nexus"
"15","microtus montanus","microtus montanus pratincolus"
"16","microtus montanus","microtus nevadensis rivularis"
"17","microtus montanus","microtus montanus undosus"
"18","microtus montanus","microtus montanus yosemite"
"19","microtus montanus","microtus montanus zygomaticus"
"20","microtus montanus","microtus montanus nevadensis"
"21","microtus montanus","microtus montanus rivularis"
