"","Host","Synonym"
"1","microtus ochrogaster","microtus ochrogaster"
"2","microtus ochrogaster","hypudaeus ochrogaster"
"3","microtus ochrogaster","microtus ludovicianus"
"4","microtus ochrogaster","arvicola austerus"
"5","microtus ochrogaster","arvicola cinnamonea"
"6","microtus ochrogaster","arvicola haydenii"
"7","microtus ochrogaster","arvicola austerus minor"
"8","microtus ochrogaster","microtus ochrogaster ohioensis"
"9","microtus ochrogaster","microtus ochrogaster similis"
"10","microtus ochrogaster","microtus ochrogaster taylori"
"11","microtus ochrogaster","microtus ochrogaster ludovicianus"
