"","Host","Synonym"
"1","microtus oeconomus","microtus oeconomus"
"2","microtus oeconomus","microtus ratticeps"
"3","microtus oeconomus","microtus amakensis"
"4","microtus oeconomus","arvicola arenicola"
"5","microtus oeconomus","microtus elymocetes"
"6","microtus oeconomus","microtus innuitus"
"7","microtus oeconomus","microtus kadiacensis"
"8","microtus oeconomus","microtus koreni"
"9","microtus oeconomus","microtus macfarlani"
"10","microtus oeconomus","lemmus medius"
"11","microtus oeconomus","arvicola operarius"
"12","microtus oeconomus","arvicola ouralensis"
"13","microtus oeconomus","arvicola ratticeps"
"14","microtus oeconomus","microtus sitkensis"
"15","microtus oeconomus","microtus tshuktshorum"
"16","microtus oeconomus","microtus uchidae"
"17","microtus oeconomus","microtus unalascensis"
"18","microtus oeconomus","microtus yakutatensis"
"19","microtus oeconomus","microtus ratticeps altaicus"
"20","microtus oeconomus","microtus oeconomus anikini"
"21","microtus oeconomus","microtus oeconomus dauricus"
"22","microtus oeconomus","microtus operarius endoecus"
"23","microtus oeconomus","microtus oeconomus gilmorei"
"24","microtus oeconomus","microtus oeconomus hahlovi"
"25","microtus oeconomus","mus oeconomus kamtschaticus"
"26","microtus oeconomus","microtus oeconomus kjusjurensis"
"27","microtus oeconomus","microtus ratticeps mehelyi"
"28","microtus oeconomus","microtus ratticeps montiumcaelestinum"
"29","microtus oeconomus","microtus oeonomus naumovi"
"30","microtus oeconomus","microtus ratticeps petshorae"
"31","microtus oeconomus","microtus unalascensis popofensis"
"32","microtus oeconomus","microtus innuitus punukensis"
"33","microtus oeconomus","microtus oeconomus shantaricus"
"34","microtus oeconomus","arvicola ratticeps stimmingi"
"35","microtus oeconomus","microtus oeconomus suntaricus"
"36","microtus oeconomus","arvicola terrestris uralensis"
"37","microtus oeconomus","microtus oeconomus elymocetes"
