"","Host","Synonym"
"1","microtus pennsylvanicus","microtus pennsylvanicus"
"2","microtus pennsylvanicus","microtus nesophilus"
"3","microtus pennsylvanicus","microtus pennsylvanicus pennsylvanicus"
"4","microtus pennsylvanicus","microtus pennsylvanicus dukecampbelli"
"5","microtus pennsylvanicus","microtus pennsylvanicus chihuahuensis"
"6","microtus pennsylvanicus","microtus admiraltiae"
"7","microtus pennsylvanicus","arvicola alborufescens"
"8","microtus pennsylvanicus","microtus aphorodemus"
"9","microtus pennsylvanicus","arvicola dekayi"
"10","microtus pennsylvanicus","microtus enixus"
"11","microtus pennsylvanicus","microtus fontigenus"
"12","microtus pennsylvanicus","arvicola fulva"
"13","microtus pennsylvanicus","arvicola hirsutus"
"14","microtus pennsylvanicus","arvicola insperatus"
"15","microtus pennsylvanicus","microtus insularis"
"16","microtus pennsylvanicus","arvicola nasuta"
"17","microtus pennsylvanicus","lemmus noveboracensis"
"18","microtus pennsylvanicus","arvicola oneida"
"19","microtus pennsylvanicus","arvicola palustris"
"20","microtus pennsylvanicus","mynomes pratensis"
"21","microtus pennsylvanicus","microtus provectus"
"22","microtus pennsylvanicus","arvicola riparius"
"23","microtus pennsylvanicus","arvicola rufescens"
"24","microtus pennsylvanicus","arvicola rufidorsum"
"25","microtus pennsylvanicus","arvicola terraenovae"
"26","microtus pennsylvanicus","arvicola drummondii"
"27","microtus pennsylvanicus","microtus pennsylvanicus acadicus"
"28","microtus pennsylvanicus","microtus pennsylvanicus alcorni"
"29","microtus pennsylvanicus","microtus pennsylvanicus arcticus"
"30","microtus pennsylvanicus","microtus pennsylvanicus copelandi"
"31","microtus pennsylvanicus","microtus pennsylvanicus finitus"
"32","microtus pennsylvanicus","microtus pennsylvanicus funebris"
"33","microtus pennsylvanicus","microtus montanus kincaidi"
"34","microtus pennsylvanicus","microtus pennsylvanicus labradorius"
"35","microtus pennsylvanicus","arvicola riparia longipilis"
"36","microtus pennsylvanicus","microtus pennsylvanicus magdalenensis"
"37","microtus pennsylvanicus","microtus pennsylvanicus pullatus"
"38","microtus pennsylvanicus","microtus pennsylvanicus rubidus"
"39","microtus pennsylvanicus","microtus pennsilvanicus shattucki"
"40","microtus pennsylvanicus","microtus pennsylvanicus tananaensis"
"41","microtus pennsylvanicus","microtus pennsylvanicus uligocola"
"42","microtus pennsylvanicus","microtus pennsylvanicus wahema"
"43","microtus pennsylvanicus","microtus pennsylvanicus kincaidi"
"44","microtus pennsylvanicus","microtus pennsylvanicus provectus"
"45","microtus pennsylvanicus","microtus pennsylvanicus shattucki"
