"","Host","Synonym"
"1","muscardinus avellanarius","muscardinus avellanarius"
"2","muscardinus avellanarius","mus corilinum"
"3","muscardinus avellanarius","myoxus muscardinus"
"4","muscardinus avellanarius","muscardinus pulcher"
"5","muscardinus avellanarius","myoxus speciosus"
"6","muscardinus avellanarius","muscardinus trapezius"
"7","muscardinus avellanarius","muscardinus avellanarius anglicus"
"8","muscardinus avellanarius","muscardinus avellanarius niveus"
"9","muscardinus avellanarius","muscardinus avellanarius zeus"
"10","muscardinus avellanarius","muscardinus avellanarius abanticus"
