"","Host","Synonym"
"1","myodes gapperi","myodes gapperi"
"2","myodes gapperi","clethrionomys gapperi"
"3","myodes gapperi","evotomys carolinensis"
"4","myodes gapperi","evotomys caurinus"
"5","myodes gapperi","evotomys fuscodorsalis"
"6","myodes gapperi","evotomys galei"
"7","myodes gapperi","evotomys idahoensis"
"8","myodes gapperi","evotomys limitis"
"9","myodes gapperi","evotomys nivarius"
"10","myodes gapperi","evotomys phaeus"
"11","myodes gapperi","evotomys proteus"
"12","myodes gapperi","evotomys pygmaeus"
"13","myodes gapperi","evotomys ungava"
"14","myodes gapperi","evotomys wrangeli"
"15","myodes gapperi","evotomys occidentalis"
"16","myodes gapperi","clethrionomys gapperi arizonensis"
"17","myodes gapperi","evotomys gapperi athabascae"
"18","myodes gapperi","evotomys gapperi brevicaudus"
"19","myodes gapperi","clethrionomys gapperi cascadensis"
"20","myodes gapperi","clethrionomys gapperi gaspeanus"
"21","myodes gapperi","clethrionomys gapperi gauti"
"22","myodes gapperi","clethrionomys gapperi hudsonius"
"23","myodes gapperi","evotomys gapperi loringi"
"24","myodes gapperi","clethrionomys gapperi maurus"
"25","myodes gapperi","evotomys gapperi ochraceus"
"26","myodes gapperi","clethrionomys gapperi pallescens"
"27","myodes gapperi","clethrionomys gapperi paludicola"
"28","myodes gapperi","evotomys gapperi rhoadsii"
"29","myodes gapperi","clethrionomys gapperi rufescens"
"30","myodes gapperi","clethrionomys gapperi rupicola"
"31","myodes gapperi","evotomys gapperi saturatus"
"32","myodes gapperi","clethrionomys gapperi soleus"
"33","myodes gapperi","clethrionomys gapperi stikinensis"
"34","myodes gapperi","clethrionomys gapperi uintaensis"
"35","myodes gapperi","clethrionomys gapperi solus"
