"","Host","Synonym"
"1","myodes glareolus","myodes glareolus"
"2","myodes glareolus","clethrionomys glareolus"
"3","myodes glareolus","evotomys alstoni"
"4","myodes glareolus","lemmus arvalis"
"5","myodes glareolus","myodes bicolor"
"6","myodes glareolus","evotomys caesarius"
"7","myodes glareolus","evotomys erica"
"8","myodes glareolus","arvicola fulvus"
"9","myodes glareolus","evotomys gorka"
"10","myodes glareolus","hypudacus hercynicus"
"11","myodes glareolus","hypudaeus nageri"
"12","myodes glareolus","evotomys norvegicus"
"13","myodes glareolus","evotomys ponticus"
"14","myodes glareolus","lemmus pratensis"
"15","myodes glareolus","arvicola pratensis"
"16","myodes glareolus","arvicola riparia"
"17","myodes glareolus","lemmus rubidus"
"18","myodes glareolus","evotomys skomerensis"
"19","myodes glareolus","evotomys vasconiae"
"20","myodes glareolus","evotomys hercynicus britannicus"
"21","myodes glareolus","evotomys nageri hallucalis"
"22","myodes glareolus","evotomys hercynicus helveticus"
"23","myodes glareolus","clethrionomys glareolus insulaebellae"
"24","myodes glareolus","evotomys glareolus intermedius"
"25","myodes glareolus","evotomys glareolus istericus"
"26","myodes glareolus","evotomys glareolus italicus"
"27","myodes glareolus","evotomys glareolus jurassicus"
"28","myodes glareolus","mus rutilus minor"
"29","myodes glareolus","evotomys glareolus ognevi"
"30","myodes glareolus","evotomys glareolus reinwaldti"
"31","myodes glareolus","evotomys glareolus ruttneri"
"32","myodes glareolus","evotomys glareolus saianicus"
"33","myodes glareolus","evotomys glareolus sobrus"
"34","myodes glareolus","evotomys hercynicus suecicus"
"35","myodes glareolus","evotomys nageri vesanus"
"36","myodes glareolus","evotomys glareolus wasjuganensis"
