"","Host","Synonym"
"1","myodes rufocanus","myodes rufocanus"
"2","myodes rufocanus","clethrionomys rufocanus"
"3","myodes rufocanus","clethrionomys sikotanensis"
"4","myodes rufocanus","evotomys arsenjevi"
"5","myodes rufocanus","evotomys bedfordiae"
"6","myodes rufocanus","evotomys irkutensis"
"7","myodes rufocanus","arvicola kamtnschaticus"
"8","myodes rufocanus","evotomys kolymensis"
"9","myodes rufocanus","evotomys latastei"
"10","myodes rufocanus","neoaschizomys sikotanensis"
"11","myodes rufocanus","arvicola wosnessenskii"
"12","myodes rufocanus","clethrionomys yesomontanus"
"13","myodes rufocanus","craseomys rufocanus bargusinensis"
"14","myodes rufocanus","clethrionomys rufocanus kurilensis"
