"","Host","Synonym"
"1","neotoma albigula","neotoma albigula"
"2","neotoma albigula","neotoma cumulator"
"3","neotoma albigula","neotoma venusta"
"4","neotoma albigula","neotoma intermedia angusticeps"
"5","neotoma albigula","neotoma albigula brevicauda"
"6","neotoma albigula","neotoma desertorum grandis"
"7","neotoma albigula","neotoma albigula laplataensis"
"8","neotoma albigula","neotoma albigula mearnsi"
"9","neotoma albigula","neotoma intermedia melanura"
"10","neotoma albigula","neotoma albigula seri"
"11","neotoma albigula","neotoma albigula sheldoni"
