"","Host","Synonym"
"1","neotoma cinerea","neotoma cinerea"
"2","neotoma cinerea","neotoma arizonae"
"3","neotoma cinerea","neotoma cinnamomea"
"4","neotoma cinerea","myoxus drummondii"
"5","neotoma cinerea","neotoma grangeri"
"6","neotoma cinerea","neotoma occidentalis"
"7","neotoma cinerea","neotoma orolestes"
"8","neotoma cinerea","neotoma saxamans"
"9","neotoma cinerea","teonoma cinerea acraea"
"10","neotoma cinerea","neotoma cinerea alticola"
"11","neotoma cinerea","neotoma fuscus apicalis"
"12","neotoma cinerea","neotoma cinerea columbiana"
"13","neotoma cinerea","neotoma occidentalis fusca"
"14","neotoma cinerea","neotoma cinerea lucida"
"15","neotoma cinerea","neotoma cinerea macrodon"
"16","neotoma cinerea","neotoma cinerea pulla"
"17","neotoma cinerea","teonoma cinerea acraia"
