"","Host","Synonym"
"1","neotoma floridana","neotoma floridana"
"2","neotoma floridana","neotoma floridana floridana"
"3","neotoma floridana","neotoma floridana smalli"
"4","neotoma floridana","neotoma attwateri"
"5","neotoma floridana","neotoma baileyi"
"6","neotoma floridana","neotoma campestris"
"7","neotoma floridana","neotoma floridana haematoreia"
"8","neotoma floridana","neotoma floridana illinoensis"
"9","neotoma floridana","neotoma floridana osagensis"
"10","neotoma floridana","neotoma floridana rubida"
