"","Host","Synonym"
"1","neotoma lepida","neotoma lepida"
"2","neotoma lepida","neotoma abbreviata"
"3","neotoma lepida","neotoma arenacea"
"4","neotoma lepida","neotoma bella"
"5","neotoma lepida","neotoma californica"
"6","neotoma lepida","neotoma desertorum"
"7","neotoma lepida","neotoma insularis"
"8","neotoma lepida","neotoma intermedia"
"9","neotoma lepida","neotoma nevadensis"
"10","neotoma lepida","neotoma nudicauda"
"11","neotoma lepida","neotoma lepida aridicola"
"12","neotoma lepida","neotoma lepida egressa"
"13","neotoma lepida","neotoma bella felipensis"
"14","neotoma lepida","neotoma intermedia gilva"
"15","neotoma lepida","neotoma lepida grinnelli"
"16","neotoma lepida","neotoma lepida latirostra"
"17","neotoma lepida","neotoma lepida marcosensis"
"18","neotoma lepida","neotoma lepida marshalli"
"19","neotoma lepida","neotoma lepida molagrandis"
"20","neotoma lepida","neotoma lepida monstrabilis"
"21","neotoma lepida","neotoma intermedia notia"
"22","neotoma lepida","neotoma intermedia perpallida"
"23","neotoma lepida","neotoma lepida petricola"
"24","neotoma lepida","neotoma intermedia pretiosa"
"25","neotoma lepida","neotoma intermedia ravida"
"26","neotoma lepida","neotoma lepida sanrafaeli"
"27","neotoma lepida","neotoma desertorum sola"
"28","neotoma lepida","neotoma intermedia vicina"
"29","neotoma lepida","neotoma lepida intermedia"
