"","Host","Synonym"
"1","neotoma mexicana","neotoma mexicana"
"2","neotoma mexicana","neotoma distincta"
"3","neotoma mexicana","neotoma fallax"
"4","neotoma mexicana","neotoma ferruginea"
"5","neotoma mexicana","neotoma isthmica"
"6","neotoma mexicana","neotoma navus"
"7","neotoma mexicana","neotoma parvidens"
"8","neotoma mexicana","neotoma picta"
"9","neotoma mexicana","neotoma pinetorum"
"10","neotoma mexicana","neotoma sinaloae"
"11","neotoma mexicana","neotoma tenuicauda"
"12","neotoma mexicana","neotoma torquata"
"13","neotoma mexicana","neotoma tropicalis"
"14","neotoma mexicana","neotoma mexicana atrata"
"15","neotoma mexicana","neotoma mexicana bullata"
"16","neotoma mexicana","neotoma ferruginea chamula"
"17","neotoma mexicana","neotoma mexicana eremita"
"18","neotoma mexicana","neotoma ferruginea griseoventer"
"19","neotoma mexicana","neotoma mexicana inopinata"
"20","neotoma mexicana","neotoma mexicana inornata"
"21","neotoma mexicana","neotoma mexicana madrensis"
"22","neotoma mexicana","neotoma ferruginea ochracea"
"23","neotoma mexicana","neotoma mexicana scopulorum"
"24","neotoma mexicana","neotoma ferruginea solitaria"
"25","neotoma mexicana","neotoma ferruginea vulcani"
