"","Host","Synonym"
"1","niviventer confucianus","niviventer confucianus"
"2","niviventer confucianus","rattus elegans"
"3","niviventer confucianus","rattus mentosus"
"4","niviventer confucianus","epimys zappeyi"
"5","niviventer confucianus","epimys confucianus canorus"
"6","niviventer confucianus","rattus confucianus chihliensis"
"7","niviventer confucianus","rattus confucianus littoreus"
"8","niviventer confucianus","mus confucianus luticolor"
"9","niviventer confucianus","mus confucianus sacer"
"10","niviventer confucianus","rattus confucianus sinianus"
