"","Host","Synonym"
"1","niviventer cremoriventer","niviventer cremoriventer"
"2","niviventer cremoriventer","epimys barussanus"
"3","niviventer cremoriventer","mus flaviventer"
"4","niviventer cremoriventer","mus gilbiventer"
"5","niviventer cremoriventer","mus kina"
"6","niviventer cremoriventer","epimys mengurus"
"7","niviventer cremoriventer","epimys solus"
"8","niviventer cremoriventer","epimys spatulatus"
"9","niviventer cremoriventer","rattus cremoriventer cretaceiventer"
"10","niviventer cremoriventer","rattus cremoriventer malawali"
"11","niviventer cremoriventer","rattus cremoriventer sumatrae"
