"","Host","Synonym"
"1","niviventer fulvescens","niviventer fulvescens"
"2","niviventer fulvescens","rattus blythi"
"3","niviventer fulvescens","mus bukit"
"4","niviventer fulvescens","mus caudatior"
"5","niviventer fulvescens","mus cinnamomeus"
"6","niviventer fulvescens","rattus flavipilis"
"7","niviventer fulvescens","epimys gracilis"
"8","niviventer fulvescens","mus huang"
"9","niviventer fulvescens","leggada jerdoni"
"10","niviventer fulvescens","epimys lepidus"
"11","niviventer fulvescens","mus ling"
"12","niviventer fulvescens","mus octomammis"
"13","niviventer fulvescens","epimys orbus"
"14","niviventer fulvescens","rattus wongi"
"15","niviventer fulvescens","rattus bukit baturus"
"16","niviventer fulvescens","rattus lepturus besuki"
"17","niviventer fulvescens","rattus bukit condorensis"
"18","niviventer fulvescens","rattus bukit jacobsoni"
"19","niviventer fulvescens","rattus bukit lepturoides"
"20","niviventer fulvescens","rattus bukit lieftincki"
"21","niviventer fulvescens","epimys jerdoni marinus"
"22","niviventer fulvescens","rattus blythi mekongis"
"23","niviventer fulvescens","rattus flavipilis minor"
"24","niviventer fulvescens","epimys jerdoni pan"
"25","niviventer fulvescens","rattus bukit temmincki"
"26","niviventer fulvescens","rattus bukit treubii"
"27","niviventer fulvescens","rattus huang vulpicolor"
