"","Host","Synonym"
"1","nycteris thebaica","nycteris thebaica"
"2","nycteris thebaica","nycteris thebaicus"
"3","nycteris thebaica","nycteris angolensis"
"4","nycteris thebaica","nycteris capensis"
"5","nycteris thebaica","nycteris damarensis"
"6","nycteris thebaica","nycteris labiata"
"7","nycteris thebaica","nycteris thebaica thebaica"
"8","nycteris thebaica","nycteris thebaica adana"
"9","nycteris thebaica","nycteris thebaica angolensis"
"10","nycteris thebaica","nycteris thebaica brockmani"
"11","nycteris thebaica","nycteris thebaica capensis"
"12","nycteris thebaica","nycteris thebaica damarensis"
"13","nycteris thebaica","nycteris thebaica labiata"
"14","nycteris thebaica","nycteris thebaica najdiya"
"15","nycteris thebaica","petalia damarensis brockmani"
"16","nycteris thebaica","petalia thebaica adana"
